序,年份,文章标题,导师论文署名单位,论文对应经历阶段,统一研究主题,研究问题,采用方法,应用领域,证据位置,未完成事项序号
59,2024,A Reparameterized Discrete Diffusion Model for Text Generation,香港大学,香港大学；助理教授；2020-至今,扩散文本生成,离散扩散的采样表达能否支持更有效的训练和生成？,推导等价的重参数化采样形式，并据此设计训练与解码方法。,扩散文本生成,"论文信息汇总.csv 序59：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_A Reparameterized Discrete Diffusion Model for Text Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2302.05737；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“This work studies discrete diffusion probabilistic models with applications to natural language generation. We derive an alternative yet equivalent formulation of the sampling from discrete diffusion ”。",P59-C;P59-R;P59-F
60,2024,Multimodal ArXiv: A Dataset for Improving Scientific Comprehension of Large Vision-Language Models,待核验,阶段待核验,视觉语言理解,视觉语言模型如何理解科学论文中的抽象图形？,从arXiv构建图文配对与科学图形问答数据。,视觉语言理解,"论文信息汇总.csv 序60：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2024.acl-long.775/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Large vision-language models (LVLMs) excel across diverse tasks involving concrete images from natural scenes. However, their ability to interpret abstract figures, such as geometry shapes and scienti”。",P60-C;P60-D;P60-A;P60-R
61,2024,L-Eval: Instituting Standardized Evaluation for Long Context Language Models,香港大学,香港大学；助理教授；2020-至今,长上下文建模与压缩,长上下文模型如何获得更规范且贴近人工判断的评测？,L-Eval提供多领域长文档任务，并比较长度指令与模型裁判指标。,长上下文建模与压缩,"论文信息汇总.csv 序61：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_L-Eval_ Instituting Standardized Evaluation for Long Context Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.776/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 14388–14411”。
原文摘要依据：“Recently, there has been growing interest in long-context scaling of large language models (LLMs). To facilitate research in this field, we propose L-Eval to institute a more standardized evaluation f”。",P61-C;P61-R
62,2024,PRoLoRA: Partial Rotation Empowers More Parameter-Efficient LoRA,香港大学,香港大学；助理教授；2020-至今,推理部署与参数效率,并发部署多个LoRA时如何进一步减少参数？,PRoLoRA使用层内共享、部分旋转、共享精炼与校正初始化。,推理部署与参数效率,"论文信息汇总.csv 序62：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_PRoLoRA_ Partial Rotation Empowers More Parameter-Efficient LoRA.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.156/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 2829–2841”。
原文摘要依据：“With the rapid scaling of large language models (LLMs), serving numerouslow-rank adaptations (LoRAs) concurrently has become increasingly impractical,leading to unaffordable costs and necessitating mo”。",P62-C;P62-R
63,2024,GSM-Plus: A Comprehensive Benchmark for Evaluating the Robustness of LLMs as Mathematical Problem Solvers,香港大学,香港大学；助理教授；2020-至今,数学推理与题目合成,数学题表述变化会否暴露大模型的推理脆弱性？,在GSM8K上加入多种数学扰动，评测25个模型和提示方法。,数学推理与题目合成,"论文信息汇总.csv 序63：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_GSM-Plus_ A Comprehensive Benchmark for Evaluating the Robustness of LLMs as Mathematical Problem Solvers.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.163/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 2961–2984”。
原文摘要依据：“Large language models (LLMs) have achieved impressive performance across various mathematical reasoning benchmarks. However, there are increasing debates regarding whether these models truly understan”。",P63-C
64,2024,LoRA Meets Dropout under a Unified Framework,香港大学,香港大学；助理教授；2020-至今,推理部署与参数效率,少量参数的LoRA为何仍过拟合，何种dropout适用？,按丢弃位置、结构模式与补偿机制统一分析dropout。,推理部署与参数效率,"论文信息汇总.csv 序64：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_LoRA Meets Dropout under a Unified Framework.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.findings-acl.119/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“With the remarkable capabilities, large language models (LLMs) have emergedas essential elements in numerous NLP applications, while parameter-efficientfinetuning, especially LoRA, has gained populari”。",P64-C;P64-R
65,2024,Achilles-Bench: A Challenging Benchmark for Low-Resource Evaluation,待核验,阶段待核验,语言迁移与学习能力评测,低资源基准是否高估模型处理困难样本的能力？,分析低资源学习难点，构建包含11个语言与视觉数据集的Achilles-Bench。,语言迁移与学习能力评测,"论文信息汇总.csv 序65：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2024.findings-acl.123/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“With promising yet saturated results in high-resource settings, low-resource datasets have gradually become crucial benchmarks (e.g., BigBench Hard, superGLUE) for evaluating the learning ability of a”。",P65-C;P65-D;P65-A;P65-R
66,2024,SEGO: Sequential Subgoal Optimization for Mathematical Problem-Solving,香港大学,香港大学；助理教授；2020-至今,数学推理与题目合成,如何为数学求解选择更有效的中间子目标？,SEGO生成问题相关子目标，并依求解概率联系进行顺序优化。,数学推理与题目合成,"论文信息汇总.csv 序66：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_SEGO_ Sequential Subgoal Optimization for Mathematical Problem-Solving.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.407/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 7544–7565”。
原文摘要依据：“Large Language Models (LLMs) have driven substantial progress in artificial intelligence in recent years, exhibiting impressive capabilities across a wide range of tasks, including mathematical proble”。",P66-C;P66-R
67,2024,BBA: Bi-Modal Behavioral Alignment for Reasoning with Large Vision-Language Models,香港大学,香港大学；助理教授；2020-至今,视觉语言理解,视觉与领域专用语言的推理过程如何协同？,BBA分别生成视觉和DSL推理链，再解决两者的不一致。,视觉语言理解,"论文信息汇总.csv 序67：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_BBA_ Bi-Modal Behavioral Alignment for Reasoning with Large Vision-Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.findings-acl.433/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“Multimodal reasoning stands as a pivotal capability for large vision-language models (LVLMs). The integration with Domain-Specific Languages (DSL), offering precise visual representations, equips thes”。",P67-C;P67-R
68,2024,Large Language Models are not Fair Evaluators,香港大学,香港大学；助理教授；2020-至今,模型评价与奖励学习,模型裁判是否受候选回答出现顺序影响？,改变回答排列检测位置偏差，再通过校准与人工偏好对照。,模型评价与奖励学习,"论文信息汇总.csv 序68：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Large Language Models are not Fair Evaluators.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.511/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 9440–9450”。
原文摘要依据：“In this paper, we uncover a positional bias in the evaluation paradigm of adopting large language models (LLMs), e.g., GPT-4, as a referee to score and compare the quality of responses generated by ca”。",P68-C;P68-R
69,2024,Self-Infilling Code Generation,香港大学,香港大学；助理教授；2020-至今,代码生成与纠错,自回归代码生成如何利用后缀信息和循环修订？,自填充解码先生成周围上下文，再以中断与循环机制修改片段。,代码生成与纠错,"论文信息汇总.csv 序69：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Self-Infilling Code Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2311.17972；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 41 st International Conference on Machine          terruption point to infill the bypassed context (Figure 1c).”。
原文摘要依据：“This work introduces self-infilling code generation, a general framework that incorporates infilling operations into auto-regressive decoding. Our approach capitalizes on the observation that recent i”。",P69-C;P69-R
70,2024,Training- Free Long-Context Scaling of Large Language Models,香港大学,香港大学；助理教授；2020-至今,长上下文建模与压缩,不继续训练能否让模型处理超过预训练长度的文本？,Dual Chunk Attention分解块内与块间注意力，并保留相对位置信息。,长上下文建模与压缩,"论文信息汇总.csv 序70：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Training- Free Long-Context Scaling of Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2402.17463；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 41 st International Conference on Machine            tion indices or increasing the base frequency in RoPE (Su”。
原文摘要依据：“The ability of Large Language Models (LLMs) to process and generate coherent text is markedly weakened when the number of input tokens exceeds their pretraining length. Given the expensive overhead of”。",P70-C;P70-A;P70-R
71,2024,Decomposing the Enigma: Subgoal-based Demonstration Learning for Formal Theorem Proving,待核验,阶段待核验,形式化定理证明,证明示例的子目标与排列如何影响形式化定理证明？,构造并优化示例子目标，以扩散模型同时选择和排序示例。,形式化定理证明,"论文信息汇总.csv 序71：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2305.16366；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“Large language models~(LLMs) present an intriguing avenue of exploration in the domain of formal theorem proving. Nonetheless, the full utilization of these models, particularly in terms of demonstrat”。",P71-C;P71-D;P71-A;P71-R;P71-F
72,2024,Multilingual Machine Translation with Large Language Models: Empirical Results and Analysis,待核验,阶段待核验,机器翻译,大模型在多语言翻译中的优势和限制是什么？,评测多个大模型的大规模语言方向，并分析提示与跨语言示例。,机器翻译,"论文信息汇总.csv 序72：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2024.findings-naacl.176/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“Large language models (LLMs) have demonstrated remarkable potential in handling multilingual machine translation (MMT). In this paper, we systematically investigate the advantages and challenges of LL”。",P72-C;P72-D;P72-A;P72-R
73,2024,Lemur: Harmonizing Natural Language and Code for Language Agents,香港大学,香港大学；助理教授；2020-至今,工具智能体与任务评测,通用语言智能体如何平衡自然语言与代码能力？,Lemur以代码密集语料预训练，再进行文本与代码指令微调。,工具智能体与任务评测,"论文信息汇总.csv 序73：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Lemur_ Harmonizing Natural Language and Code for Language Agents.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2310.06830；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2024”。
原文摘要依据：“We introduce Lemur and Lemur-Chat, openly accessible language models optimized for both natural language and coding capabilities to serve as the backbone of versatile language agents. The evolution fr”。",P73-C;P73-R
143,2024,OS-Copilot: Towards Generalist Computer Agents with Self-Improvement,待核验,阶段待核验,工具智能体与任务评测,计算机智能体如何跨软件执行任务并积累技能？,OS-Copilot统一网页、终端、文件及应用接口，构建自改进FRIDAY。,工具智能体与任务评测,"论文信息汇总.csv 序143：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2402.07456；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Autonomous interaction with the computer has been a longstanding challenge with great potential, and the recent proliferation of large language models (LLMs) has markedly accelerated progress in build”。",P143-C;P143-D;P143-A;P143-R
144,2024,"A Survey of Neural Code Intelligence: Paradigms, Advances and Beyond",待核验,阶段待核验,代码生成与纠错,神经代码智能的模型、任务与评价如何演变？,按历史阶段综述代表模型、任务类别和代码智能应用。,代码生成与纠错,"论文信息汇总.csv 序144：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2403.14734；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Neural Code Intelligence -- leveraging deep learning to understand, generate, and optimize code -- holds immense potential for transformative impacts on the whole society. Bridging the gap between Nat”。",P144-C;P144-D;P144-A;P144-R
145,2024,Data Augmentation of Multi-turn Psychological Dialogue via Knowledge-driven Progressive Thought Prompting,香港大学,香港大学；助理教授；2020-至今,支持性对话,低资源心理对话如何进行保留上下文的多轮数据增强？,组合渐进思维、心理知识与多轮对话三个生成模块。,支持性对话,"论文信息汇总.csv 序145：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Data Augmentation of Multi-turn Psychological Dialogue via Knowledge-driven Progressive Thought Prompting.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2406.16567；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Existing dialogue data augmentation (DA) techniques predominantly focus on augmenting utterance-level dialogues, which makes it difficult to take dialogue contextual information into account. The adve”。",P145-C;P145-R
146,2024,SubgoalXL: Subgoal-based Expert Learning for Theorem Proving,香港大学,香港大学；助理教授；2020-至今,形式化定理证明,有限人工证明数据如何支持更强的形式化多步推理？,SubgoalXL在Isabelle中联合子目标监督和专家迭代学习。,形式化定理证明,"论文信息汇总.csv 序146：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_SubgoalXL_ Subgoal-based Expert Learning for Theorem Proving.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2408.11172；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Formal theorem proving, a field at the intersection of mathematics and computer science, has seen renewed interest with advancements in large language models (LLMs). This paper introduces SubgoalXL, a”。",P146-C
147,2024,UncertaintyRAG: Span-Level Uncertainty Enhanced Long-Context Modeling for Retrieval-Augmented Generation,香港大学,香港大学；助理教授；2020-至今,检索增强生成,随机分块造成的语义不一致如何影响长上下文RAG？,以信噪比定义片段不确定性，训练无监督检索器并改进采样。,检索增强生成,"论文信息汇总.csv 序147：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_UncertaintyRAG_ Span-Level Uncertainty Enhanced Long-Context Modeling for Retrieval-Augmented Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.02719；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“We present UncertaintyRAG, a novel approach for long-context Retrieval-Augmented Generation (RAG) that utilizes Signal-to-Noise Ratio (SNR)-based span uncertainty to estimate similarity between text c”。",P147-C;P147-A
148,2024,TMGBench: A Systematic Game Benchmark for Evaluating Strategic Reasoning Abilities of LLMs,待核验,阶段待核验,社会智能与角色控制,如何全面且可扩展地评测语言模型的博弈推理？,TMGBench覆盖144类双人博弈，并以顺序、并行和嵌套形式组合。,社会智能与角色控制,"论文信息汇总.csv 序148：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2410.10479；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“The rapid advancement of large language models has accelerated their application in reasoning, with strategic reasoning drawing increasing attention. To evaluate the strategic reasoning capabilities o”。",P148-C;P148-D;P148-A;P148-R
149,2024,Understanding the Role of LLMs in Multimodal Evaluation Benchmarks,香港大学,香港大学；助理教授；2020-至今,模型评价与奖励学习,多模态基准实际衡量了视觉推理还是语言先验？,移除或分离视觉输入贡献，并自动识别语言主干的知识缺口。,模型评价与奖励学习,"论文信息汇总.csv 序149：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Understanding the Role of LLMs in Multimodal Evaluation Benchmarks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.12329；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“The rapid advancement of Multimodal Large Language Models (MLLMs) has been accompanied by the development of various benchmarks to evaluate their capabilities. However, the true nature of these evalua”。",P149-C
8,2025,A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios,香港大学,香港大学；助理教授；2020-至今,社会智能与角色控制,如何系统评价博弈场景下语言智能体的社会能力？,按博弈框架、智能体和评价协议组织已有研究。,社会智能与角色控制,"论文信息汇总.csv 序8：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2412.03920；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (05/2025)”。
原文摘要依据：“Game-theoretic scenarios have become pivotal in evaluating the social intelligence of Large Language Model (LLM)-based social agents. While numerous studies have explored these agents in such settings”。",P8-C;P8-A;P8-R
9,2025,Autoregressive Models in Vision: A Survey,香港大学,香港大学；助理教授；2020-至今,视觉自回归生成,视觉自回归生成有哪些表示方式、框架与应用限制？,按像素、词元和尺度级表示综述视觉自回归模型。,视觉自回归生成,"论文信息汇总.csv 序9：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Autoregressive Models in Vision_ A Survey.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2411.05902；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (03/2025)”。
原文摘要依据：“Autoregressive modeling has been a huge success in the field of natural language processing (NLP). Recently, autoregressive models have emerged as a significant area of focus in computer vision, where”。",P9-C;P9-A
24,2025,TreeSynth: Synthesizing Diverse Data from Scratch via Tree-Guided Subspace Partitioning,待核验,阶段待核验,任务数据合成,大规模合成数据如何避免重复和分布覆盖不足？,用树递归划分互斥且完备的任务子空间，再分配和生成样本。,任务数据合成,"论文信息汇总.csv 序24：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2503.17195；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Model customization necessitates high-quality and diverse datasets, but acquiring such data remains time-consuming and labor-intensive. Despite the great potential of large language models (LLMs) for ”。",P24-C;P24-D;P24-A;P24-R;P24-F
25,2025,DynaAct: Large Language Model Reasoning with Dynamic Action Spaces,香港大学,香港大学；助理教授；2020-至今,推理与决策规划,顺序推理如何自动构建紧凑且有效的候选动作集合？,从推理语料提取动作草图，以次模目标和贪心算法兼顾效用与多样性。,推理与决策规划,"论文信息汇总.csv 序25：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_DynaAct_ Large Language Model Reasoning with Dynamic Action Spaces.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2511.08043；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“In modern sequential decision-making systems, the construction of an optimal candidate action space is critical to efficient inference. However, existing approaches either rely on manually defined act”。",P25-C;P25-F
26,2025,Long Chain-of-Thought Fine-tuning via Understanding-to-Reasoning Transition,待核验,阶段待核验,推理与决策规划,如何把长上下文理解能力转化为长思维链生成能力？,URT课程逐步将输入中的推理步骤移至模型输出。,推理与决策规划,"论文信息汇总.csv 序26：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2025.emnlp-main.1751/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Reasoning models have demonstrated remarkable performance on complex tasks by generating long reasoning traces prior to producing final answers. However, previous research on long-context scaling in l”。",P26-C;P26-D;P26-A;P26-R
27,2025,ProReason: Multi-Modal Proactive Reasoning with Decoupled Eyesight and Wisdom,香港大学,香港大学；助理教授；2020-至今,视觉语言理解,视觉推理如何避免语言知识掩盖必要的图像信息？,将主动视觉感知与文本推理解耦，多轮补充所需视觉描述。,视觉语言理解,"论文信息汇总.csv 序27：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_ProReason_ Multi-Modal Proactive Reasoning with Decoupled Eyesight and Wisdom.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.emnlp-main.1614/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing, pages 31662–31691”。
原文摘要依据：“Large vision-language models (LVLMs) have witnessed significant progress on visual understanding tasks. However, they often prioritize language knowledge over image information on visual reasoning tas”。",P27-C;P27-R
28,2025,QSpec: Speculative Decoding with Complementary Quantization Schemes,待核验,阶段待核验,推理部署与参数效率,量化推理如何同时获得速度和多步推理质量？,用低精度联合量化起草、高精度权重量化验证，并共享权重与KV缓存。,推理部署与参数效率,"论文信息汇总.csv 序28：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2025.emnlp-main.240/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Quantization is widely adopted to accelerate inference and reduce memory consumption in large language models (LLMs). While activation-weight joint quantization enables efficient low-precision decodin”。",P28-C;P28-D;P28-A;P28-R
29,2025,UNComp: Can Matrix Entropy Uncover Sparsity? — A Compressor Design from an Uncertainty-Aware Perspective,香港大学,香港大学；助理教授；2020-至今,长上下文建模与压缩,如何识别长上下文KV缓存中的结构化稀疏性？,以截断矩阵熵估计不确定性，动态分配缓存压缩。,长上下文建模与压缩,"论文信息汇总.csv 序29：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_UNComp_ Can Matrix Entropy Uncover Sparsity_ — A Compressor Design from an Uncertainty-Aware Perspective.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.emnlp-main.209/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing, pages 4179–4199”。
原文摘要依据：“Deploying large language models (LLMs) for long-context inference remains challenging due to their substantial memory and computational demands. While techniques such as Key-Value (KV) cache compressi”。",P29-C
30,2025,Developing and Utilizing a Large-Scale Cantonese Dataset for Multi-Tasking in Large Language Models,香港大学,香港大学；助理教授；2020-至今,多语言能力与低资源学习,粤语高质量训练语料不足如何缓解？,汇集多源粤语文本，经过语言、质量、内容过滤和去重，再进行任务微调。,多语言能力与低资源学习,"论文信息汇总.csv 序30：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Developing and Utilizing a Large-Scale Cantonese Dataset for Multi-Tasking in Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.findings-emnlp.102/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“High-quality data resources play a crucial role in learning large language models (LLMs), particularly for low-resource languages like Cantonese. Despite having more than 85 million native speakers, C”。",P30-C;P30-R
31,2025,Recipe2Plan: Evaluating Planning Abilities of LLMs for Efficient and Feasible Multitasking with Time Constraints Between Actions,香港大学,香港大学；助理教授；2020-至今,推理与决策规划,智能体如何在动作时间约束下兼顾多任务并行与可行性？,以烹饪流程构建Recipe2Plan，评估全局调度与时间间隔约束。,推理与决策规划,"论文信息汇总.csv 序31：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Recipe2Plan_ Evaluating Planning Abilities of LLMs for Efficient and Feasible Multitasking with Time Constraints Between Actions.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.findings-emnlp.229/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“While Large Language Model-based agents have demonstrated substantial progress in task completion, existing evaluation benchmarks tend to overemphasize single-task performance, with insufficient atten”。",P31-C
