合作者姓名,论文标题,年份,角色,关键词,是否与目标导师合著,来源及核验依据
Jiacheng Ye,Diffusion of Thought: Chain-of-Thought Reasoning in Diffusion Language Models,2024,共同一作,分析提取：扩散模型；思维链；迭代去噪；自我修正；自一致性,是,"论文信息汇总.csv 序52：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Diffusion of Thought_ Chain-of-Thought Reasoning in Diffusion Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2402.07754；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Recently, diffusion models have garnered significant interest in the field of text processing due to their many potential advantages compared to conventional autoregressive models. In this work, we pr”。
；共同一作；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiacheng Ye,PRoLoRA: Partial Rotation Empowers More Parameter-Efficient LoRA,2024,其他作者（共同一作/通讯待核验）,分析提取：LoRA；参数共享；部分旋转；初始化；微调效率,是,"论文信息汇总.csv 序62：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_PRoLoRA_ Partial Rotation Empowers More Parameter-Efficient LoRA.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.156/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 2829–2841”。
原文摘要依据：“With the rapid scaling of large language models (LLMs), serving numerouslow-rank adaptations (LoRAs) concurrently has become increasingly impractical,leading to unaffordable costs and necessitating mo”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiacheng Ye,Beyond Autoregression: Discrete Diffusion for Complex Reasoning and Planning,2025,一作（按作者顺序）,分析提取：离散扩散；子目标；多粒度建模；复杂推理；规划,是,"论文信息汇总.csv 序43：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Beyond Autoregression_ Discrete Diffusion for Complex Reasoning and Planning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.14157；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2025”。
原文摘要依据：“Autoregressive language models, despite their impressive capabilities, struggle with complex reasoning and long-term planning tasks. We introduce discrete diffusion models as a novel solution to these”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiacheng Ye,Implicit Search via Discrete Diffusion: A Study on Chess,2025,一作（按作者顺序）,分析提取：离散扩散；隐式搜索；国际象棋；世界状态；长期规划,是,"论文信息汇总.csv 序44：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2502.19805；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“In the post-AlphaGo era, there has been a renewed interest in search techniques such as Monte Carlo Tree Search (MCTS), particularly in their application to Large Language Models (LLMs). This renewed ”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiacheng Ye,G-LLaVA: Solving Geometric Problem with Multi-Modal Large Language Model,2025,其他作者（共同一作/通讯待核验）,分析提取：几何推理；多模态；Geo170K；数据增强；几何关系,是,"论文信息汇总.csv 序45：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2312.11370；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Large language models (LLMs) have shown remarkable proficiency in human-level reasoning and generation capabilities, which encourages extensive research on their application in mathematical problem so”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiacheng Ye,Scaling Diffusion Language Models via Adaptation from Autoregressive Models,2025,其他作者（共同一作/通讯待核验）,分析提取：扩散语言模型；自回归适配；持续预训练；规模扩展；文本生成,是,"论文信息汇总.csv 序47：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Scaling Diffusion Language Models via Adaptation from Autoregressive Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.17891；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2025”。
原文摘要依据：“Diffusion Language Models (DLMs) have emerged as a promising new paradigm for text generative modeling, potentially addressing limitations of autoregressive (AR) models. However, current DLMs have bee”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiacheng Ye,Dream 7B: Diffusion Large Language Models,2025,共同一作,分析提取：离散扩散；Dream 7B；噪声调度；任意顺序；开放模型,是,"论文信息汇总.csv 序154：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Dream 7B_ Diffusion Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2508.15487；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“We introduce Dream 7B, the most powerful open diffusion large language model to date. Unlike autoregressive (AR) models that generate tokens sequentially, Dream 7B employs discrete diffusion modeling ”。
；共同一作；预印本，等级不适用。"
Jiacheng Ye,Dream-Coder 7B: An Open Diffusion Language Model for Code,2025,共同一作,分析提取：代码生成；离散扩散；生成顺序；可验证奖励；后训练,是,"论文信息汇总.csv 序155：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Dream-Coder 7B_ An Open Diffusion Language Model for Code.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2509.01142；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“We present Dream-Coder 7B, an open-source discrete diffusion language model for code generation that exhibits emergent any-order generation capabilities. Unlike traditional autoregressive (AR) models ”。
；共同一作；预印本，等级不适用。"
Jiacheng Ye,Dream-VL & Dream-VLA: Open Vision-Language and Vision-Language-Action Models with Diffusion Language Model Backbone,2025,共同一作,分析提取：视觉语言动作；扩散模型；机器人；动作分块；并行生成,是,"论文信息汇总.csv 序162：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Dream-VL & Dream-VLA_ Open Vision-Language and Vision-Language-Action Models with Diffusion Language Model Backbone.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2512.22615；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“While autoregressive Large Vision-Language Models (VLMs) have achieved remarkable success, their sequential generation often limits their efficacy in complex visual planning and dynamic robotic contro”。
；共同一作；预印本，等级不适用。"
Jiacheng Ye,DreamOn: Diffusion Language Models For Code Infilling Beyond Fixed-size Canvas,2026,其他作者（共同一作/通讯待核验）,分析提取：扩散语言模型；代码补全；可变长度；长度控制；掩码,是,"论文信息汇总.csv 序22：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_DreamOn_ Diffusion Language Models For Code Infilling Beyond Fixed-size Canvas.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2602.01326；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2026”。
原文摘要依据：“Diffusion Language Models (DLMs) present a compelling alternative to autoregressive models, offering flexible, any-order infilling without specialized prompting design. However, their practical utilit”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiacheng Ye,DreamReasoner-8B: Block-Size Curriculum Learning for Diffusion Reasoning Models,2026,其他作者（共同一作/通讯待核验）,分析提取：分块扩散；思维链；块大小；课程学习；并行推理,是,"论文信息汇总.csv 序174：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_DreamReasoner-8B_ Block-Size Curriculum Learning for Diffusion Reasoning Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2606.19257；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Block diffusion language models accelerate decoding through parallel block-wise denoising, yet whether they can be reliably scaled for long chain-of-thought (CoT) reasoning remains unresolved. To this”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Jiacheng Ye,OpenICL: An Open-Source Framework for In-context Learning,2023,共同一作,未公开（未获得可支持关键词提取的摘要）,否,"https://jiacheng-ye.github.io/；论文链接https://arxiv.org/abs/2303.02913；访问2026-09-17；可见作者原文：“Zhenyu Wu*, YaoXiang Wang*, Jiacheng Ye*, Jiangtao Feng, Jingjing Xu, Yu Qiao, Zhiyong Wu.”；共同一作。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Jiacheng Ye,Heterogeneous Graph Neural Networks for Keyphrase Generation,2021,共同一作,未公开（未获得可支持关键词提取的摘要）,否,"https://jiacheng-ye.github.io/；论文链接https://arxiv.org/abs/2109.04703；访问2026-09-17；可见作者原文：“Jiacheng Ye*, Ruijian Cai*, Tao Gui and Qi Zhang.”；共同一作。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Jiacheng Ye,One2Set: Generating Diverse Keyphrases as a Set,2021,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://jiacheng-ye.github.io/；论文链接https://arxiv.org/abs/2105.11134；访问2026-09-17；可见作者原文：“Jiacheng Ye, Tao Gui, Yichao Luo, Yige Xu, and Qi Zhang.”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Jiacheng Ye,Leveraging Document-Level Label Consistency for Named Entity Recognition,2020,共同一作,未公开（未获得可支持关键词提取的摘要）,否,"https://jiacheng-ye.github.io/；论文链接https://www.ijcai.org/proceedings/2020/0550.pdf；访问2026-09-17；可见作者原文：“Tao Gui*, Jiacheng Ye*, Qi Zhang, Yaqian Zhou, Yeyun Gong, Xuanjing Huang.”；共同一作。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Jiacheng Ye,Uncertainty-Aware Label Refinement for Sequence Labeling,2020,共同一作,未公开（未获得可支持关键词提取的摘要）,否,"https://jiacheng-ye.github.io/；论文链接https://aclanthology.org/2020.emnlp-main.181.pdf；访问2026-09-17；可见作者原文：“Tao Gui*, Jiacheng Ye*, Qi Zhang, Zhengyan Li, Zichu Fei, Yeyun Gong and Xuanjing Huang.”；共同一作。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Jiahui Gao,ProGen: Progressive Zero-shot Dataset Generation via In-context Feedback,2022,其他作者（共同一作/通讯待核验）,分析提取：数据合成；零样本；任务反馈；上下文示例；渐进生成,是,"论文信息汇总.csv 序95：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_ProGen_ Progressive Zero-shot Dataset Generation via In-context Feedback.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2022.findings-emnlp.269/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
原文摘要依据：“Recently, dataset-generation-based zero-shot learning has shown promising results by training a task-specific model with a dataset synthesized from large pre-trained language models (PLMs). The final ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,ZeroGen: Efficient Zero-shot Learning via Dataset Generation,2022,共同一作,分析提取：零样本；数据生成；知识蒸馏；小模型；高效推理,是,"论文信息汇总.csv 序96：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_ZeroGen_ Efficient Zero-shot Learning via Dataset Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2022.emnlp-main.801/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing, pages 11653–11669”。
原文摘要依据：“There is a growing interest in dataset generation recently due to the superior generative capacity of large pre-trained language models (PLMs). In this paper, we study a flexible and efficient zero-sh”。
；共同一作；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,Revisiting Over-smoothing in BERT from the Perspective of Graph,2022,共同一作,分析提取：BERT；过平滑；图传播；层归一化；层次融合,是,"论文信息汇总.csv 序110：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_Revisiting Over-smoothing in BERT from the Perspective of Graph.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2202.08625；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2022”。
原文摘要依据：“Recently over-smoothing phenomenon of Transformer-based models is observed in both vision and language fields. However, no existing work has delved deeper to further investigate the main cause of this”。
；共同一作；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,DetGPT: Detect What You Need via Reasoning,2023,共同一作,分析提取：目标检测；自然语言指令；多模态推理；开放词汇；意图理解,是,"论文信息汇总.csv 序75：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2023.emnlp-main.876/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“In recent years, the field of computer vision has seen significant advancements thanks to the development of large language models (LLMs). These models have enabled more effective and sophisticated in”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。
共同一作补查：https://sumilergao.github.io/jiahuig.hku/，访问2026-09-17，主页明确等贡献标记；原文作者：“R.Pi*, Jiahui Gao*, S. Diao*, R. Pan, H. Dong, J. Zhang, L. Yao, J. Han, H. Xu, L. Kong, T. Zhang”。"
Jiahui Gao,Self-Guided Noise-Free Data Generation for Efficient Zero-Shot Learning,2023,共同一作,分析提取：零样本学习；合成数据；噪声；重加权；文本分类,是,"论文信息汇总.csv 序91：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2205.12679；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
原文摘要依据：“There is a rising interest in further exploring the zero-shot learning potential of large pre-trained language models (PLMs). A new paradigm called data-generation-based zero-shot learning has achieve”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。
共同一作补查：https://sumilergao.github.io/jiahuig.hku/，访问2026-09-17，主页明确等贡献标记；原文作者：“Jiahui Gao*, R. Pi *, Y. Lin, H. Xu, J. Ye, Z. Wu, W. Zhang, X. Liang, Z. Li, L. Kong.”。"
Jiahui Gao,Diffusion of Thought: Chain-of-Thought Reasoning in Diffusion Language Models,2024,其他作者（共同一作/通讯待核验）,分析提取：扩散模型；思维链；迭代去噪；自我修正；自一致性,是,"论文信息汇总.csv 序52：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Diffusion of Thought_ Chain-of-Thought Reasoning in Diffusion Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2402.07754；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Recently, diffusion models have garnered significant interest in the field of text processing due to their many potential advantages compared to conventional autoregressive models. In this work, we pr”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,CoCA: Regaining Safety-awareness of Multimodal Large Language Models with Constitutional Calibration,2024,一作（按作者顺序）,分析提取：多模态安全；分布校准；安全原则；模态差距；鲁棒性,是,"论文信息汇总.csv 序58：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2409.11365；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“The deployment of multimodal large language models (MLLMs) has demonstrated remarkable success in engaging in conversations involving visual inputs, thanks to the superior power of large language mode”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,TreeSynth: Synthesizing Diverse Data from Scratch via Tree-Guided Subspace Partitioning,2025,其他作者（共同一作/通讯待核验）,分析提取：合成数据；决策树；子空间划分；多样性；数据重平衡,是,"论文信息汇总.csv 序24：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2503.17195；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Model customization necessitates high-quality and diverse datasets, but acquiring such data remains time-consuming and labor-intensive. Despite the great potential of large language models (LLMs) for ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,ProReason: Multi-Modal Proactive Reasoning with Decoupled Eyesight and Wisdom,2025,其他作者（共同一作/通讯待核验）,分析提取：视觉推理；主动感知；能力解耦；多轮推理；知识蒸馏,是,"论文信息汇总.csv 序27：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_ProReason_ Multi-Modal Proactive Reasoning with Decoupled Eyesight and Wisdom.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.emnlp-main.1614/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing, pages 31662–31691”。
原文摘要依据：“Large vision-language models (LVLMs) have witnessed significant progress on visual understanding tasks. However, they often prioritize language knowledge over image information on visual reasoning tas”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,Jailbreaking as a Reward Misspecification Problem,2025,其他作者（共同一作/通讯待核验）,分析提取：模型安全；奖励错设；对齐；红队评测；对抗鲁棒性,是,"论文信息汇总.csv 序39：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Jailbreaking as a Reward Misspecification Problem.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2406.14393；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2025”。
原文摘要依据：“The widespread adoption of large language models (LLMs) has raised concerns about their safety and reliability, particularly regarding their vulnerability to adversarial attacks. In this paper, we pro”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,Beyond Autoregression: Discrete Diffusion for Complex Reasoning and Planning,2025,其他作者（共同一作/通讯待核验）,分析提取：离散扩散；子目标；多粒度建模；复杂推理；规划,是,"论文信息汇总.csv 序43：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Beyond Autoregression_ Discrete Diffusion for Complex Reasoning and Planning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.14157；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2025”。
原文摘要依据：“Autoregressive language models, despite their impressive capabilities, struggle with complex reasoning and long-term planning tasks. We introduce discrete diffusion models as a novel solution to these”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,Implicit Search via Discrete Diffusion: A Study on Chess,2025,其他作者（共同一作/通讯待核验）,分析提取：离散扩散；隐式搜索；国际象棋；世界状态；长期规划,是,"论文信息汇总.csv 序44：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2502.19805；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“In the post-AlphaGo era, there has been a renewed interest in search techniques such as Monte Carlo Tree Search (MCTS), particularly in their application to Large Language Models (LLMs). This renewed ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,G-LLaVA: Solving Geometric Problem with Multi-Modal Large Language Model,2025,一作（按作者顺序）,分析提取：几何推理；多模态；Geo170K；数据增强；几何关系,是,"论文信息汇总.csv 序45：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2312.11370；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Large language models (LLMs) have shown remarkable proficiency in human-level reasoning and generation capabilities, which encourages extensive research on their application in mathematical problem so”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,Forewarned is Forearmed: Harnessing LLMs for Data Synthesis via Failure-induced Exploration,2025,其他作者（共同一作/通讯待核验）,分析提取：数据合成；失败探索；训练样本；模型弱点；ReverseGen,是,"论文信息汇总.csv 序48：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Forewarned is Forearmed_ Harnessing LLMs for Data Synthesis via Failure-induced Exploration.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.16736；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Large language models (LLMs) have significantly benefited from training on diverse, high-quality task-specific data, leading to impressive performance across a range of downstream applications. Curren”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,Dream 7B: Diffusion Large Language Models,2025,共同一作,分析提取：离散扩散；Dream 7B；噪声调度；任意顺序；开放模型,是,"论文信息汇总.csv 序154：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Dream 7B_ Diffusion Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2508.15487；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“We introduce Dream 7B, the most powerful open diffusion large language model to date. Unlike autoregressive (AR) models that generate tokens sequentially, Dream 7B employs discrete diffusion modeling ”。
；共同一作；预印本，等级不适用。"
Jiahui Gao,Dream-Coder 7B: An Open Diffusion Language Model for Code,2025,共同一作,分析提取：代码生成；离散扩散；生成顺序；可验证奖励；后训练,是,"论文信息汇总.csv 序155：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Dream-Coder 7B_ An Open Diffusion Language Model for Code.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2509.01142；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“We present Dream-Coder 7B, an open-source discrete diffusion language model for code generation that exhibits emergent any-order generation capabilities. Unlike traditional autoregressive (AR) models ”。
；共同一作；预印本，等级不适用。"
Jiahui Gao,Dream-VL & Dream-VLA: Open Vision-Language and Vision-Language-Action Models with Diffusion Language Model Backbone,2025,其他作者（共同一作/通讯待核验）,分析提取：视觉语言动作；扩散模型；机器人；动作分块；并行生成,是,"论文信息汇总.csv 序162：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Dream-VL & Dream-VLA_ Open Vision-Language and Vision-Language-Action Models with Diffusion Language Model Backbone.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2512.22615；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“While autoregressive Large Vision-Language Models (VLMs) have achieved remarkable success, their sequential generation often limits their efficacy in complex visual planning and dynamic robotic contro”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Jiahui Gao,DreamOn: Diffusion Language Models For Code Infilling Beyond Fixed-size Canvas,2026,其他作者（共同一作/通讯待核验）,分析提取：扩散语言模型；代码补全；可变长度；长度控制；掩码,是,"论文信息汇总.csv 序22：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_DreamOn_ Diffusion Language Models For Code Infilling Beyond Fixed-size Canvas.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2602.01326；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2026”。
原文摘要依据：“Diffusion Language Models (DLMs) present a compelling alternative to autoregressive models, offering flexible, any-order infilling without specialized prompting design. However, their practical utilit”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jiahui Gao,ToolSelf: Unifying Task Execution and Self-Reconfiguration via Tool-Driven Emergent Adaptation,2026,其他作者（共同一作/通讯待核验）,分析提取：工具智能体；自配置；任务执行；策略学习；上下文管理,是,"论文信息汇总.csv 序166：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_ToolSelf_ Unifying Task Execution and Self-Reconfiguration via Tool-Driven Emergent Adaptation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2602.07883；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“LLM-powered agentic systems excel at complex long-horizon tasks, but remain constrained by static configurations fixed before execution. Such rigidity forces a trade-off between domain-specific perfor”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
