序号,导师姓名,论文标题,年份,尝试过的链接,失败原因,下一步建议
P113-R,"Kong, Lingpeng",Random Feature Attention,2021,"https://openreview.net/pdf?id=QtTKTdVrFBB
https://arxiv.org/abs/2103.02143",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P114-C,"Kong, Lingpeng",A Mutual Information Maximization Perspective of Language Representation Learning,2020,"https://arxiv.org/abs/1910.08350.pdf
https://arxiv.org/abs/1910.08350",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P114-A,"Kong, Lingpeng",A Mutual Information Maximization Perspective of Language Representation Learning,2020,"https://arxiv.org/abs/1910.08350.pdf
https://arxiv.org/abs/1910.08350",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P114-R,"Kong, Lingpeng",A Mutual Information Maximization Perspective of Language Representation Learning,2020,"https://arxiv.org/abs/1910.08350.pdf
https://arxiv.org/abs/1910.08350",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P114-F,"Kong, Lingpeng",A Mutual Information Maximization Perspective of Language Representation Learning,2020,"https://arxiv.org/abs/1910.08350.pdf
https://arxiv.org/abs/1910.08350",CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P115-C,"Kong, Lingpeng",Episodic Memory in Lifelong Language Learning,2019,"https://arxiv.org/pdf/1906.01076.pdf
https://arxiv.org/abs/1906.01076",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P115-D,"Kong, Lingpeng",Episodic Memory in Lifelong Language Learning,2019,https://arxiv.org/pdf/1906.01076,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2019_Episodic Memory in Lifelong Language Learning.pdf.part https://arxiv.org/pdf/1906.01076
curl: (28) Operation timed out after 35005 milliseconds with ；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P115-A,"Kong, Lingpeng",Episodic Memory in Lifelong Language Learning,2019,"https://arxiv.org/pdf/1906.01076.pdf
https://arxiv.org/abs/1906.01076",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P115-R,"Kong, Lingpeng",Episodic Memory in Lifelong Language Learning,2019,"https://arxiv.org/pdf/1906.01076.pdf
https://arxiv.org/abs/1906.01076",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P115-F,"Kong, Lingpeng",Episodic Memory in Lifelong Language Learning,2019,"https://arxiv.org/pdf/1906.01076.pdf
https://arxiv.org/abs/1906.01076",CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P116-C,"Kong, Lingpeng",Variational Smoothing in Recurrent Neural Network Language Models,2019,"https://arxiv.org/pdf/1901.09296.pdf
https://arxiv.org/abs/1901.09296",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P116-A,"Kong, Lingpeng",Variational Smoothing in Recurrent Neural Network Language Models,2019,"https://arxiv.org/pdf/1901.09296.pdf
https://arxiv.org/abs/1901.09296",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P116-R,"Kong, Lingpeng",Variational Smoothing in Recurrent Neural Network Language Models,2019,"https://arxiv.org/pdf/1901.09296.pdf
https://arxiv.org/abs/1901.09296",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P117-C,"Kong, Lingpeng",Multi-task Learning with CTC and Segmental CRF for Speech Recognition,2017,"https://arxiv.org/pdf/1702.06378.pdf
https://arxiv.org/abs/1702.06378",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P117-A,"Kong, Lingpeng",Multi-task Learning with CTC and Segmental CRF for Speech Recognition,2017,"https://arxiv.org/pdf/1702.06378.pdf
https://arxiv.org/abs/1702.06378",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P117-R,"Kong, Lingpeng",Multi-task Learning with CTC and Segmental CRF for Speech Recognition,2017,"https://arxiv.org/pdf/1702.06378.pdf
https://arxiv.org/abs/1702.06378",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P117-F,"Kong, Lingpeng",Multi-task Learning with CTC and Segmental CRF for Speech Recognition,2017,"https://arxiv.org/pdf/1702.06378.pdf
https://arxiv.org/abs/1702.06378",CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P118-C,"Kong, Lingpeng",What Do Recurrent Neural Network Grammars Learn About Syntax?,2017,"https://aclanthology.org/E17-1117/
https://aclweb.org/anthology/E17-1117
https://arxiv.org/abs/1611.05774",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P118-A,"Kong, Lingpeng",What Do Recurrent Neural Network Grammars Learn About Syntax?,2017,"https://aclanthology.org/E17-1117/
https://aclweb.org/anthology/E17-1117
https://arxiv.org/abs/1611.05774",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P118-R,"Kong, Lingpeng",What Do Recurrent Neural Network Grammars Learn About Syntax?,2017,"https://aclanthology.org/E17-1117/
https://aclweb.org/anthology/E17-1117
https://arxiv.org/abs/1611.05774",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P119-C,"Kong, Lingpeng",Segmental Recurrent Neural Networks for End-to-end Speech Recognition,2016,"https://arxiv.org/pdf/1603.00223.pdf
https://arxiv.org/abs/1603.00223",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P119-A,"Kong, Lingpeng",Segmental Recurrent Neural Networks for End-to-end Speech Recognition,2016,"https://arxiv.org/pdf/1603.00223.pdf
https://arxiv.org/abs/1603.00223",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P119-R,"Kong, Lingpeng",Segmental Recurrent Neural Networks for End-to-end Speech Recognition,2016,"https://arxiv.org/pdf/1603.00223.pdf
https://arxiv.org/abs/1603.00223",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P119-F,"Kong, Lingpeng",Segmental Recurrent Neural Networks for End-to-end Speech Recognition,2016,"https://arxiv.org/pdf/1603.00223.pdf
https://arxiv.org/abs/1603.00223",CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P120-C,"Kong, Lingpeng",Distilling an Ensemble of Greedy Dependency Parsers into One MST Parser,2016,"https://aclanthology.org/D16-1180/
https://www.aclweb.org/anthology/D16-1180
https://arxiv.org/abs/1609.07561",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P120-A,"Kong, Lingpeng",Distilling an Ensemble of Greedy Dependency Parsers into One MST Parser,2016,"https://aclanthology.org/D16-1180/
https://www.aclweb.org/anthology/D16-1180
https://arxiv.org/abs/1609.07561",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P120-R,"Kong, Lingpeng",Distilling an Ensemble of Greedy Dependency Parsers into One MST Parser,2016,"https://aclanthology.org/D16-1180/
https://www.aclweb.org/anthology/D16-1180
https://arxiv.org/abs/1609.07561",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P121-C,"Kong, Lingpeng",Segmental Recurrent Neural Networks,2016,"https://arxiv.org/pdf/1511.06018.pdf
https://github.com/clab/dynet/tree/master/examples/segmental-rnn
https://arxiv.org/abs/1511.06018",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P121-A,"Kong, Lingpeng",Segmental Recurrent Neural Networks,2016,"https://arxiv.org/pdf/1511.06018.pdf
https://github.com/clab/dynet/tree/master/examples/segmental-rnn
https://arxiv.org/abs/1511.06018",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P121-R,"Kong, Lingpeng",Segmental Recurrent Neural Networks,2016,"https://arxiv.org/pdf/1511.06018.pdf
https://github.com/clab/dynet/tree/master/examples/segmental-rnn
https://arxiv.org/abs/1511.06018",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P122-C,"Kong, Lingpeng",Bayesian Optimization of Text Representations,2015,"https://aclanthology.org/D15-1251/
https://aclweb.org/anthology/D15-1251",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P122-A,"Kong, Lingpeng",Bayesian Optimization of Text Representations,2015,"https://aclanthology.org/D15-1251/
https://aclweb.org/anthology/D15-1251",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P122-R,"Kong, Lingpeng",Bayesian Optimization of Text Representations,2015,"https://aclanthology.org/D15-1251/
https://aclweb.org/anthology/D15-1251",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P123-C,"Kong, Lingpeng",Transforming Dependencies into Phrase Structures,2015,"https://aclanthology.org/N15-1080/
https://www.aclweb.org/anthology/N15-1080
https://github.com/ikekonglp/PAD",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P123-A,"Kong, Lingpeng",Transforming Dependencies into Phrase Structures,2015,"https://aclanthology.org/N15-1080/
https://www.aclweb.org/anthology/N15-1080
https://github.com/ikekonglp/PAD",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P123-R,"Kong, Lingpeng",Transforming Dependencies into Phrase Structures,2015,"https://aclanthology.org/N15-1080/
https://www.aclweb.org/anthology/N15-1080
https://github.com/ikekonglp/PAD",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P124-C,"Kong, Lingpeng",A Dependency Parser for Tweets,2014,"https://aclanthology.org/D14-1108/
https://www.aclweb.org/anthology/D14-1108
https://github.com/ikekonglp/TweeboParser",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P124-A,"Kong, Lingpeng",A Dependency Parser for Tweets,2014,"https://aclanthology.org/D14-1108/
https://www.aclweb.org/anthology/D14-1108
https://github.com/ikekonglp/TweeboParser",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P124-R,"Kong, Lingpeng",A Dependency Parser for Tweets,2014,"https://aclanthology.org/D14-1108/
https://www.aclweb.org/anthology/D14-1108
https://github.com/ikekonglp/TweeboParser",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P125-C,"Kong, Lingpeng",Dependency Parsing for Weibo: An Efficient Probabilistic Logic Programming Approach,2014,"https://aclanthology.org/D14-1122/
https://www.aclweb.org/anthology/D14-1122",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P125-A,"Kong, Lingpeng",Dependency Parsing for Weibo: An Efficient Probabilistic Logic Programming Approach,2014,"https://aclanthology.org/D14-1122/
https://www.aclweb.org/anthology/D14-1122",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P125-R,"Kong, Lingpeng",Dependency Parsing for Weibo: An Efficient Probabilistic Logic Programming Approach,2014,"https://aclanthology.org/D14-1122/
https://www.aclweb.org/anthology/D14-1122",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P126-C,"Kong, Lingpeng",Formalization and Rules for Recognition of Satirical Irony,2011,https://ikekonglp.github.io/paper/ialp11a.pdf,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P126-R,"Kong, Lingpeng",Formalization and Rules for Recognition of Satirical Irony,2011,https://ikekonglp.github.io/paper/ialp11a.pdf,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P127-C,"Kong, Lingpeng",Improving Chinese Dependency Parsing with Self-Disambiguating Patterns,2011,https://ikekonglp.github.io/paper/ialp11b.pdf,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P127-R,"Kong, Lingpeng",Improving Chinese Dependency Parsing with Self-Disambiguating Patterns,2011,https://ikekonglp.github.io/paper/ialp11b.pdf,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P127-V,"Kong, Lingpeng",Improving Chinese Dependency Parsing with Self-Disambiguating Patterns,2011,https://ikekonglp.github.io/paper/ialp11b.pdf,作者顺序采用PDF首页；CV中Kai Zhao和Changjian Hu顺序相反。；核验日期2026-09-17,保留原始版本和本次核对记录；需要精确复现时使用同一正式版本
P129-C,"Kong, Lingpeng",Document Context Language Models,2016,"https://arxiv.org/pdf/1511.03962.pdf
https://arxiv.org/abs/1511.03962",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P129-A,"Kong, Lingpeng",Document Context Language Models,2016,"https://arxiv.org/pdf/1511.03962.pdf
https://arxiv.org/abs/1511.03962",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P129-R,"Kong, Lingpeng",Document Context Language Models,2016,"https://arxiv.org/pdf/1511.03962.pdf
https://arxiv.org/abs/1511.03962",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P130-C,"Kong, Lingpeng",ACBiMA: Advanced Chinese Bi-Character Word Morphological Analyzer,2015,"https://aclanthology.org/W15-3105/
https://www.aclweb.org/anthology/W15-3105
https://github.com/windx0303/ACBiMA",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P130-A,"Kong, Lingpeng",ACBiMA: Advanced Chinese Bi-Character Word Morphological Analyzer,2015,"https://aclanthology.org/W15-3105/
https://www.aclweb.org/anthology/W15-3105
https://github.com/windx0303/ACBiMA",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P130-R,"Kong, Lingpeng",ACBiMA: Advanced Chinese Bi-Character Word Morphological Analyzer,2015,"https://aclanthology.org/W15-3105/
https://www.aclweb.org/anthology/W15-3105
https://github.com/windx0303/ACBiMA",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P131-C,"Kong, Lingpeng",SNCSE: Contrastive Learning for Unsupervised Sentence Embedding with Soft Negative Samples,2022,https://arxiv.org/abs/2201.05979,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P131-R,"Kong, Lingpeng",SNCSE: Contrastive Learning for Unsupervised Sentence Embedding with Soft Negative Samples,2022,https://arxiv.org/abs/2201.05979,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P132-C,"Kong, Lingpeng",Language Models Can See: Plugging Visual Controls in Text Generation,2022,https://arxiv.org/abs/2205.02655,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P132-D,"Kong, Lingpeng",Language Models Can See: Plugging Visual Controls in Text Generation,2022,https://arxiv.org/pdf/2205.02655,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2022_Language Models Can See_ Plugging Visual Controls in Text Generation.pdf.part https://arxiv.org/pdf/2205.02655
curl: (28) Operation timed out after 3；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P132-A,"Kong, Lingpeng",Language Models Can See: Plugging Visual Controls in Text Generation,2022,https://arxiv.org/abs/2205.02655,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P132-R,"Kong, Lingpeng",Language Models Can See: Plugging Visual Controls in Text Generation,2022,https://arxiv.org/abs/2205.02655,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P133-C,"Kong, Lingpeng",Audio-Visual Segmentation with Semantics,2023,https://arxiv.org/abs/2301.13190,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P133-D,"Kong, Lingpeng",Audio-Visual Segmentation with Semantics,2023,https://arxiv.org/pdf/2301.13190,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2023_Audio-Visual Segmentation with Semantics.pdf.part https://arxiv.org/pdf/2301.13190
curl: (28) Operation timed out after 35005 milliseconds with 12383；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P133-A,"Kong, Lingpeng",Audio-Visual Segmentation with Semantics,2023,https://arxiv.org/abs/2301.13190,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P133-R,"Kong, Lingpeng",Audio-Visual Segmentation with Semantics,2023,https://arxiv.org/abs/2301.13190,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P134-C,"Kong, Lingpeng",In-Context Learning with Many Demonstration Examples,2023,https://arxiv.org/abs/2302.04931,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P134-A,"Kong, Lingpeng",In-Context Learning with Many Demonstration Examples,2023,https://arxiv.org/abs/2302.04931,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P135-C,"Kong, Lingpeng",TTIDA: Controllable Generative Data Augmentation via Text-to-Text and Text-to-Image Models,2023,https://arxiv.org/abs/2304.08821,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P135-D,"Kong, Lingpeng",TTIDA: Controllable Generative Data Augmentation via Text-to-Text and Text-to-Image Models,2023,https://arxiv.org/pdf/2304.08821,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2023_TTIDA_ Controllable Generative Data Augmentation via Text-to-Text and Text-to-Image Models.pdf.part https://arxiv.org/pdf/2304.08821
curl: (28) Opera；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P135-A,"Kong, Lingpeng",TTIDA: Controllable Generative Data Augmentation via Text-to-Text and Text-to-Image Models,2023,https://arxiv.org/abs/2304.08821,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P135-R,"Kong, Lingpeng",TTIDA: Controllable Generative Data Augmentation via Text-to-Text and Text-to-Image Models,2023,https://arxiv.org/abs/2304.08821,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P136-C,"Kong, Lingpeng",Optimizing Non-Autoregressive Transformers with Contrastive Learning,2023,https://arxiv.org/abs/2305.13667,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P136-R,"Kong, Lingpeng",Optimizing Non-Autoregressive Transformers with Contrastive Learning,2023,https://arxiv.org/abs/2305.13667,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P137-C,"Kong, Lingpeng",M$^3$IT: A Large-Scale Dataset towards Multi-Modal Multilingual Instruction Tuning,2023,https://arxiv.org/abs/2306.04387,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P137-R,"Kong, Lingpeng",M$^3$IT: A Large-Scale Dataset towards Multi-Modal Multilingual Instruction Tuning,2023,https://arxiv.org/abs/2306.04387,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P138-C,"Kong, Lingpeng",Language Versatilists vs. Specialists: An Empirical Revisiting on Multilingual Transfer Ability,2023,https://arxiv.org/abs/2306.06688,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P138-R,"Kong, Lingpeng",Language Versatilists vs. Specialists: An Empirical Revisiting on Multilingual Transfer Ability,2023,https://arxiv.org/abs/2306.06688,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P139-C,"Kong, Lingpeng",Extrapolating Large Language Models to Non-English by Aligning Languages,2023,https://arxiv.org/abs/2308.04948,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P139-D,"Kong, Lingpeng",Extrapolating Large Language Models to Non-English by Aligning Languages,2023,https://arxiv.org/pdf/2308.04948,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2023_Extrapolating Large Language Models to Non-English by Aligning Languages.pdf.part https://arxiv.org/pdf/2308.04948
curl: (28) Operation timed out aft；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P139-A,"Kong, Lingpeng",Extrapolating Large Language Models to Non-English by Aligning Languages,2023,https://arxiv.org/abs/2308.04948,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P139-R,"Kong, Lingpeng",Extrapolating Large Language Models to Non-English by Aligning Languages,2023,https://arxiv.org/abs/2308.04948,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P140-C,"Kong, Lingpeng",Exploring the Reliability of Large Language Models as Customized Evaluators for Diverse NLP Tasks,2025,"https://aclanthology.org/2025.coling-main.688/
https://arxiv.org/abs/2310.19740",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P140-R,"Kong, Lingpeng",Exploring the Reliability of Large Language Models as Customized Evaluators for Diverse NLP Tasks,2025,"https://aclanthology.org/2025.coling-main.688/
https://arxiv.org/abs/2310.19740",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P142-C,"Kong, Lingpeng",Linear Attention via Orthogonal Memory,2023,https://arxiv.org/abs/2312.11135,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P142-D,"Kong, Lingpeng",Linear Attention via Orthogonal Memory,2023,https://arxiv.org/pdf/2312.11135,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2023_Linear Attention via Orthogonal Memory.pdf.part https://arxiv.org/pdf/2312.11135
curl: (28) Operation timed out after 35003 milliseconds with 4599258；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P142-A,"Kong, Lingpeng",Linear Attention via Orthogonal Memory,2023,https://arxiv.org/abs/2312.11135,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P142-R,"Kong, Lingpeng",Linear Attention via Orthogonal Memory,2023,https://arxiv.org/abs/2312.11135,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P143-C,"Kong, Lingpeng",OS-Copilot: Towards Generalist Computer Agents with Self-Improvement,2024,https://arxiv.org/abs/2402.07456,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
