姓名,论文署名单位,当前单位,身份,职称,与导师的关系,共同论文数,首次合作年份,最近合作年份,共同研究方向,共同项目,关系证据,待核验问题,共同论文序号
Jian Guan（论文 #34，身份待核验）,2025；论文#34；蚂蚁集团,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,数学推理与题目合成,未公开,"论文信息汇总.csv 序34：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_PromptCoT_ Synthesizing Olympiad-level Problems for Mathematical Reasoning in Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.findings-acl.935/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“The ability of large language models to solve complex mathematical problems has progressed significantly, particularly for tasks requiring advanced reasoning. However, the scarcity of sufficiently cha”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jian-guan/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P34-C
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",34
Jian Guan（论文 #157，身份待核验）,2025；论文#157；蚂蚁集团,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,数学推理与题目合成,未公开,"论文信息汇总.csv 序157：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_PromptCoT 2.0_ Scaling Prompt Synthesis for Large Language Model Reasoning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2509.19894；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large language models (LLMs) are evolving from conversational systems into strong reasoners for tasks such as Olympiad mathematics and competitive programming. While scaling parameters and test-time c”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jian-guan/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P157-C
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",157
Chenxin An,"2022；论文#100；复旦大学；上海人工智能实验室
2023；论文#136；香港大学；复旦大学
2024；论文#61；复旦大学；香港大学
2024；论文#70；香港大学；阿里巴巴
2025；论文#26；待核验
2025；论文#38；香港大学
2025；论文#40；待核验
2025；论文#46；香港大学
2025；论文#47；香港大学
2026；论文#168；香港大学",香港大学（CV；现况待核验）,2023起；博士生（CV）,博士生（CV）,导师—学生,10,2022,2026,可控文本生成与一致性；长上下文建模与压缩；推理与决策规划；模型评价与奖励学习；视频时序理解；扩散文本生成；工具智能体与任务评测,未公开,https://ikekonglp.github.io/lingpenk_cv.pdf；访问2026-09-17；原文依据：“Chenxin An (2023-)”。历史指导/时间另见https://ikekonglp.github.io/lingpenk_cv.pdf第1-2页（版本2026-01-27）；校友更新见https://hkunlp.github.io/people/。核验状态：公开身份部分确认；局限见待核验问题。,"个人主页及完整论文列表未核验。
具体论文问题：P100-C;P100-A;P100-R;P100-F;P136-C;P136-R;P61-C;P61-R;P70-C;P70-A;P70-R;P26-C;P26-D;P26-A;P26-R;P38-C;P38-R;P38-F;P40-C;P40-D;P40-A;P40-R;P40-F;P46-C;P46-R;P46-F;P47-C;P47-R;P168-C;P168-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。;CP335;CP336",100;136;61;70;26;38;40;46;47;168
Xiaonan Li（论文 #26，身份待核验）,2025；论文#26；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,推理与决策规划,未公开,"论文信息汇总.csv 序26：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2025.emnlp-main.1751/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Reasoning models have demonstrated remarkable performance on complex tasks by generating long reasoning traces prior to producing final answers. However, previous research on long-context scaling in l”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/xiaonan-li/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P26-C;P26-D;P26-A;P26-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",26
Xiaonan Li（论文 #149，身份待核验）,2024；论文#149；复旦大学,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,模型评价与奖励学习,未公开,"论文信息汇总.csv 序149：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Understanding the Role of LLMs in Multimodal Evaluation Benchmarks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.12329；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“The rapid advancement of Multimodal Large Language Models (MLLMs) has been accompanied by the development of various benchmarks to evaluate their capabilities. However, the true nature of these evalua”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/xiaonan-li/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P149-C
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",149
Ming Zhong（论文 #26，身份待核验）,2025；论文#26；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,推理与决策规划,未公开,"论文信息汇总.csv 序26：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2025.emnlp-main.1751/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Reasoning models have demonstrated remarkable performance on complex tasks by generating long reasoning traces prior to producing final answers. However, previous research on long-context scaling in l”。
仅确认论文内原姓名署名；跨论文身份未确认。https://maszhongming.github.io/
https://aclanthology.org/people/ming-zhong/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P26-C;P26-D;P26-A;P26-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",26
Ming Zhong（论文 #46，身份待核验）,2025；论文#46；伊利诺伊大学厄巴纳-香槟分校,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,长上下文建模与压缩,未公开,"论文信息汇总.csv 序46：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Why Does the Effective Context Length of LLMs Fall Short_.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.18745；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Advancements in distributed training and efficient attention mechanisms have significantly expanded the context window sizes of large language models (LLMs). However, recent work reveals that the effe”。
仅确认论文内原姓名署名；跨论文身份未确认。https://maszhongming.github.io/
https://aclanthology.org/people/ming-zhong/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P46-C;P46-R;P46-F
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",46
Ming Zhong（论文 #61，身份待核验）,2024；论文#61；伊利诺伊大学厄巴纳-香槟分校,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,长上下文建模与压缩,未公开,"论文信息汇总.csv 序61：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_L-Eval_ Instituting Standardized Evaluation for Long Context Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.776/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 14388–14411”。
原文摘要依据：“Recently, there has been growing interest in long-context scaling of large language models (LLMs). To facilitate research in this field, we propose L-Eval to institute a more standardized evaluation f”。
仅确认论文内原姓名署名；跨论文身份未确认。https://maszhongming.github.io/
https://aclanthology.org/people/ming-zhong/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P61-C;P61-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",61
Ming Zhong（论文 #97，身份待核验）,2022；论文#97；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,结构化知识理解,未公开,"论文信息汇总.csv 序97：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2022.emnlp-main.39/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
原文摘要依据：“Structured knowledge grounding (SKG) leverages structured knowledge to complete user requests, such as semantic parsing over databases and question answering over knowledge bases. Since the inputs and”。
仅确认论文内原姓名署名；跨论文身份未确认。https://maszhongming.github.io/
https://aclanthology.org/people/ming-zhong/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P97-C;P97-D;P97-A;P97-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",97
Jun Zhang（论文 #26，身份待核验）,2025；论文#26；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,推理与决策规划,未公开,"论文信息汇总.csv 序26：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2025.emnlp-main.1751/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Reasoning models have demonstrated remarkable performance on complex tasks by generating long reasoning traces prior to producing final answers. However, previous research on long-context scaling in l”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jun-zhang/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P26-C;P26-D;P26-A;P26-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",26
Jun Zhang（论文 #46，身份待核验）,2025；论文#46；字节跳动,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,长上下文建模与压缩,未公开,"论文信息汇总.csv 序46：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Why Does the Effective Context Length of LLMs Fall Short_.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.18745；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Advancements in distributed training and efficient attention mechanisms have significantly expanded the context window sizes of large language models (LLMs). However, recent work reveals that the effe”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jun-zhang/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P46-C;P46-R;P46-F
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",46
Jun Zhang（论文 #61，身份待核验）,2024；论文#61；上海人工智能实验室,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,长上下文建模与压缩,未公开,"论文信息汇总.csv 序61：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_L-Eval_ Instituting Standardized Evaluation for Long Context Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.776/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 14388–14411”。
原文摘要依据：“Recently, there has been growing interest in long-context scaling of large language models (LLMs). To facilitate research in this field, we propose L-Eval to institute a more standardized evaluation f”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jun-zhang/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P61-C;P61-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",61
Jun Zhang（论文 #70，身份待核验）,2024；论文#70；待核验（未见单位标记）,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,长上下文建模与压缩,未公开,"论文信息汇总.csv 序70：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Training- Free Long-Context Scaling of Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2402.17463；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 41 st International Conference on Machine            tion indices or increasing the base frequency in RoPE (Su”。
原文摘要依据：“The ability of Large Language Models (LLMs) to process and generate coherent text is markedly weakened when the number of input tokens exceeds their pretraining length. Given the expensive overhead of”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jun-zhang/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P70-C;P70-A;P70-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",70
Jun Zhang（论文 #80，身份待核验）,2023；论文#80；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,高效注意力与序列架构,未公开,"论文信息汇总.csv 序80：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2310.09512；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Autoregressive~(AR) generation almost dominates sequence generation for its efficacy. Recently, non-autoregressive~(NAR) generation gains increasing popularity for its efficiency and growing efficacy.”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jun-zhang/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P80-C;P80-D;P80-A;P80-R;P80-F
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",80
Jun Zhang（论文 #88，身份待核验）,2023；论文#88；上海人工智能实验室,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,高效注意力与序列架构,未公开,"论文信息汇总.csv 序88：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_CAB_ Comprehensive Attention Benchmarking on Long Sequence Modeling.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2210.07661；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
PDF发表标记：“Proceedings of the 40 th International Conference on Machine           causality modeling. We present four patterns of attentions,”。
原文摘要依据：“Transformer has achieved remarkable success in language, image, and speech processing. Recently, various efficient attention architectures have been proposed to improve transformer's efficiency while ”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jun-zhang/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P88-C
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",88
Jun Zhang（论文 #134，身份待核验）,2023；论文#134；上海人工智能实验室,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,上下文示例选择,未公开,"论文信息汇总.csv 序134：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_In-Context Learning with Many Demonstration Examples.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2302.04931；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large pre-training language models (PLMs) have shown promising in-context learning abilities. However, due to the backbone transformer architecture, existing PLMs are bottlenecked by the memory and co”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jun-zhang/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P134-C;P134-A
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",134
Jun Zhang（论文 #142，身份待核验）,2023；论文#142；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,高效注意力与序列架构,未公开,"论文信息汇总.csv 序142：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2312.11135；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Efficient attentions have greatly improved the computational efficiency of Transformers. However, most existing linear attention mechanisms suffer from an \emph{efficiency degradation} problem, leadin”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jun-zhang/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P142-C;P142-D;P142-A;P142-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",142
Jingjing Xu（论文 #26，身份待核验）,2025；论文#26；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,推理与决策规划,未公开,"论文信息汇总.csv 序26：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2025.emnlp-main.1751/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Reasoning models have demonstrated remarkable performance on complex tasks by generating long reasoning traces prior to producing final answers. However, previous research on long-context scaling in l”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jingjing-xu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P26-C;P26-D;P26-A;P26-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",26
Jingjing Xu（论文 #36，身份待核验）,2025；论文#36；字节跳动Seed,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,代码生成与纠错,未公开,"论文信息汇总.csv 序36：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Teaching Language Models to Critique via Reinforcement Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2502.03492；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
PDF发表标记：“Proceedings of the 42 nd International Conference on Machine           ward optimal solution generation through iterative critique-”。
原文摘要依据：“Teaching large language models (LLMs) to critique and refine their outputs is crucial for building systems that can iteratively improve, yet it is fundamentally limited by the ability to provide accur”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jingjing-xu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P36-C
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",36
Jingjing Xu（论文 #46，身份待核验）,2025；论文#46；字节跳动,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,长上下文建模与压缩,未公开,"论文信息汇总.csv 序46：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Why Does the Effective Context Length of LLMs Fall Short_.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.18745；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Advancements in distributed training and efficient attention mechanisms have significantly expanded the context window sizes of large language models (LLMs). However, recent work reveals that the effe”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jingjing-xu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P46-C;P46-R;P46-F
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",46
Jingjing Xu（论文 #56，身份待核验）,2024；论文#56；字节跳动,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,工具智能体与任务评测,未公开,"论文信息汇总.csv 序56：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Empowering Large Language Model Agents through Action Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2402.15809；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Large Language Model (LLM) Agents have recently garnered increasing interest yet they are limited in their ability to learn from trial and error, a key element of intelligent behavior. In this work, w”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jingjing-xu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P56-C;P56-R;P56-F
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",56
Jingjing Xu（论文 #65，身份待核验）,2024；论文#65；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言迁移与学习能力评测,未公开,"论文信息汇总.csv 序65：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2024.findings-acl.123/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“With promising yet saturated results in high-resource settings, low-resource datasets have gradually become crucial benchmarks (e.g., BigBench Hard, superGLUE) for evaluating the learning ability of a”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jingjing-xu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P65-C;P65-D;P65-A;P65-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",65
Jingjing Xu（论文 #72，身份待核验）,2024；论文#72；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,机器翻译,未公开,"论文信息汇总.csv 序72：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2024.findings-naacl.176/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“Large language models (LLMs) have demonstrated remarkable potential in handling multilingual machine translation (MMT). In this paper, we systematically investigate the advantages and challenges of LL”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jingjing-xu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P72-C;P72-D;P72-A;P72-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",72
Jingjing Xu（论文 #74，身份待核验）,2023；论文#74；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,视觉语言理解,未公开,"论文信息汇总.csv 序74：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2023.emnlp-main.726/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Language models (LMs) gradually become general-purpose interfaces in the interactive and embodied world, where the understanding of physical concepts is an essential prerequisite. However, it is uncle”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jingjing-xu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P74-C;P74-D;P74-A;P74-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",74
Jingjing Xu（论文 #79，身份待核验）,2023；论文#79；上海人工智能实验室,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,模型评价与奖励学习,未公开,"论文信息汇总.csv 序79：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Statistical Knowledge Assessment for Generative Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2305.10519；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Given varying prompts regarding a factoid question, can a large language model (LLM) reliably generate factually correct answers? Existing LLMs may generate distinct responses for different prompts. I”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/jingjing-xu/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P79-C;P79-R;P79-F
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",79
