序,年份,文章阶段（发表/预印本）,是否为一作/通讯,文章标题,被引次数,引用统计日期,引用来源网址,摘要,关键词,研究方向,研究内容,创新点,合作者姓名及其工作单位
132,2022,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,Language Models Can See: Plugging Visual Controls in Text Generation,未获取,未获取,未获取,"Generative language models (LMs) such as GPT-2/3 can be prompted to generate text with remarkable quality. While they are designed for text-prompted generation, it remains an open question how the generation process could be guided by modalities beyond text such as images. In this work, we propose a training-free framework, called MAGIC (iMAge-Guided text generatIon with CLIP), for plugging in visual controls in the generation process and enabling LMs to perform multimodal tasks (e.g., image captioning) in a zero-shot manner. MAGIC is a simple yet efficient plug-and-play framework, which directly combines an off-the-shelf LM (i.e., GPT-2) and an image-text matching model (i.e., CLIP) for image-grounded text generation. During decoding, MAGIC influences the generation of the LM by introducing a CLIP-induced score, called magic score, which regularizes the generated result to be semantically related to a given image while being coherent to the previously generated context. Notably, the proposed decoding scheme does not involve any gradient update operation, therefore being computationally efficient. On the challenging task of zero-shot image captioning, MAGIC outperforms the state-of-the-art method by notable margins with a nearly 27 times decoding speedup. MAGIC is a flexible framework and is theoretically compatible with any text generation tasks that incorporate image grounding. In the experiments, we showcase that it is also capable of performing visually grounded story generation given both an image and a text prompt.",分析提取：图像引导；文本生成；CLIP；零样本；免训练,可控文本生成与一致性,"研究问题：无需再训练的语言模型如何接受图像引导？
采用方法：MAGIC将CLIP图文分数加入文本解码，约束语义与上下文连贯。",支持零样本图像描述和视觉故事生成，无需梯度更新。,"Yixuan Su：待核验
Tian Lan：待核验
Yahui Liu：待核验
Fangyu Liu：待核验
Dani Yogatama：待核验
Yan Wang：待核验
Nigel Collier：待核验"
133,2023,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,Audio-Visual Segmentation with Semantics,未获取,未获取,未获取,"We propose a new problem called audio-visual segmentation (AVS), in which the goal is to output a pixel-level map of the object(s) that produce sound at the time of the image frame. To facilitate this research, we construct the first audio-visual segmentation benchmark, i.e., AVSBench, providing pixel-wise annotations for sounding objects in audible videos. It contains three subsets: AVSBench-object (Single-source subset, Multi-sources subset) and AVSBench-semantic (Semantic-labels subset). Accordingly, three settings are studied: 1) semi-supervised audio-visual segmentation with a single sound source; 2) fully-supervised audio-visual segmentation with multiple sound sources, and 3) fully-supervised audio-visual semantic segmentation. The first two settings need to generate binary masks of sounding objects indicating pixels corresponding to the audio, while the third setting further requires generating semantic maps indicating the object category. To deal with these problems, we propose a new baseline method that uses a temporal pixel-wise audio-visual interaction module to inject audio semantics as guidance for the visual segmentation process. We also design a regularization loss to encourage audio-visual mapping during training. Quantitative and qualitative experiments on AVSBench compare our approach to several existing methods for related tasks, demonstrating that the proposed method is promising for building a bridge between the audio and pixel-wise visual semantics. Code is available at https://github.com/OpenNLPLab/AVSBench. Online benchmark is available at http://www.avlbench.opennlplab.cn.",分析提取：音视频分割；语义类别；发声区域；像素标注；跨模态,音视频分割与描述,"研究问题：音视频分割如何从发声区域扩展到物体语义类别？
采用方法：在AVSBench中增加语义标签子集，并使用音画交互和正则化。",扩展单声源、多声源及语义分割三种评测；属于原工作的期刊扩展，单独保留并注明。,"Jinxing Zhou：待核验
Xuyang Shen：待核验
Jianyuan Wang：待核验
Jiayi Zhang：待核验
Weixuan Sun：待核验
Jing Zhang：待核验
Stan Birchfield：待核验
Dan Guo：待核验
Meng Wang：待核验
Yiran Zhong：待核验"
134,2023,预印本,一作 = 否（按作者顺序）；通讯 = 是,In-Context Learning with Many Demonstration Examples,未获取,未获取,未获取,"Large pre-training language models (PLMs) have shown promising in-context learning abilities. However, due to the backbone transformer architecture, existing PLMs are bottlenecked by the memory and computational cost when scaling up to a large context size, leaving instruction tuning and in-context learning of many demonstration examples, as well as long-range language modeling under-explored. In this study, we propose a long-range language model EVALM based on an efficient transformer mechanism. EVALM is trained with 8k tokens per batch line and can test up to 256k-lengthed contexts with extrapolation, 128 times to the limit of existing PLMs (e.g. GPT3). Based on EVALM, we scale up the size of examples efficiently in both instruction tuning and in-context learning to explore the boundary of the benefits from more annotated data. Experimental results on a diverse set of tasks show that EVALM achieves 4.1% higher accuracy on average, and the average length of achieving the best accuracy score over tasks is around 12k. We find that in-context learning can achieve higher performance with more demonstrations under many-shot instruction tuning (8k), and further extending the length of instructions (16k) can further improve the upper bound of scaling in-context learning.",分析提取：上下文学习；多样例；长上下文；指令微调；长度外推,上下文示例选择,"研究问题：更多演示样例能否继续提高上下文学习表现？
采用方法：用高效Transformer构建长上下文EVALM，并扩展指令训练和样例数量。",分析多样例ICL的性能边界及训练长度与推理收益的联系。,"Mukai Li：上海人工智能实验室
Shansan Gong：上海人工智能实验室
Jiangtao Feng：上海人工智能实验室
Yiheng Xu：上海人工智能实验室；香港大学
Jun Zhang：上海人工智能实验室
Zhiyong Wu：上海人工智能实验室"
135,2023,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,TTIDA: Controllable Generative Data Augmentation via Text-to-Text and Text-to-Image Models,未获取,未获取,未获取,"Data augmentation has been established as an efficacious approach to supplement useful information for low-resource datasets. Traditional augmentation techniques such as noise injection and image transformations have been widely used. In addition, generative data augmentation (GDA) has been shown to produce more diverse and flexible data. While generative adversarial networks (GANs) have been frequently used for GDA, they lack diversity and controllability compared to text-to-image diffusion models. In this paper, we propose TTIDA (Text-to-Text-to-Image Data Augmentation) to leverage the capabilities of large-scale pre-trained Text-to-Text (T2T) and Text-to-Image (T2I) generative models for data augmentation. By conditioning the T2I model on detailed descriptions produced by T2T models, we are able to generate photo-realistic labeled images in a flexible and controllable manner. Experiments on in-domain classification, cross-domain classification, and image captioning tasks show consistent improvements over other data augmentation baselines. Analytical studies in varied settings, including few-shot, long-tail, and adversarial, further reinforce the effectiveness of TTIDA in enhancing performance and increasing robustness.",分析提取：数据增强；文本生成；图像生成；低资源；可控合成,任务数据合成,"研究问题：低资源视觉任务如何获得多样且可控的增强数据？
采用方法：TTIDA先生成详细文本，再以文本到图像模型生成带标签图像。",在域内、跨域、长尾等设置验证生成式数据增强的鲁棒性收益。,"Yuwei Yin：待核验
Jean Kaddour：待核验
Xiang Zhang：待核验
Yixin Nie：待核验
Zhenguang Liu：待核验
Qi Liu：待核验"
136,2023,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,Optimizing Non-Autoregressive Transformers with Contrastive Learning,未获取,未获取,未获取,"Non-autoregressive Transformers (NATs) reduce the inference latency of Autoregressive Transformers (ATs) by predicting words all at once rather than in sequential order. They have achieved remarkable progress in machine translation as well as many other applications. However, a long-standing challenge for NATs is the learning of multi-modality data distribution, which is the main cause of the performance gap between NATs and ATs. In this paper, we propose to ease the difficulty of modality learning via sampling from the model distribution instead of the data distribution. We derive contrastive constraints to stabilize the training process and integrate this resulting objective with the state-of-the-art NAT architecture DA-Transformer. Our model \method is examined on 3 different tasks, including machine translation, text summarization, and paraphrasing with 5 benchmarks. Results show that our approach outperforms previous non-autoregressive baselines by a significant margin and establishes new state-of-the-art results for non-autoregressive transformers on all the benchmarks.",分析提取：非自回归；对比学习；模型分布；并行生成；多模态分布,可控文本生成与一致性,"研究问题：非自回归生成如何学习多模态目标分布？
采用方法：从模型分布采样，并加入对比约束稳定训练。",结合DA-Transformer，在翻译、摘要和改写任务改善并行生成质量。,"Chenxin An：香港大学；复旦大学
Jiangtao Feng：未公开
Fei Huang：清华大学CoAI组
Xipeng Qiu：复旦大学"
137,2023,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,M$^3$IT: A Large-Scale Dataset towards Multi-Modal Multilingual Instruction Tuning,未获取,未获取,未获取,"Instruction tuning has significantly advanced large language models (LLMs) such as ChatGPT, enabling them to align with human instructions across diverse tasks. However, progress in open vision-language models (VLMs) has been limited due to the scarcity of high-quality instruction datasets. To tackle this challenge and promote research in the vision-language field, we introduce the Multi-Modal, Multilingual Instruction Tuning (M$^3$IT) dataset, designed to optimize VLM alignment with human instructions. Our M$^3$IT dataset comprises 40 carefully curated datasets, including 2.4 million instances and 400 manually written task instructions, reformatted into a vision-to-text structure. Key tasks are translated into 80 languages with an advanced translation system, ensuring broader accessibility. M$^3$IT surpasses previous datasets regarding task coverage, instruction number and instance scale. Moreover, we develop Ying-VLM, a VLM model trained on our M$^3$IT dataset, showcasing its potential to answer complex questions requiring world knowledge, generalize to unseen video tasks, and comprehend unseen instructions in Chinese. We have open-sourced the dataset to encourage further research.",分析提取：多模态指令；多语言；视觉问答；数据集；指令微调,视觉语言理解,"研究问题：视觉语言模型如何获得跨任务、跨语言的指令数据？
采用方法：将40个数据集整理成视觉到文本格式，并翻译关键任务到80种语言。",发布M3IT及对应模型，支持复杂问答与未见语言指令。,"Lei Li：香港大学
Yuwei Yin：香港大学
Shicheng Li：北京大学
Liang Chen：北京大学
Peiyi Wang：北京大学
Shuhuai Ren：北京大学
Mukai Li：上海人工智能实验室
Yazheng Yang：香港大学
Jingjing Xu：上海人工智能实验室
Xu Sun：北京大学
Qi Liu：香港大学"
138,2023,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,Language Versatilists vs. Specialists: An Empirical Revisiting on Multilingual Transfer Ability,未获取,未获取,未获取,"Multilingual transfer ability, which reflects how well the models fine-tuned on one source language can be applied to other languages, has been well studied in multilingual pre-trained models (e.g., BLOOM). However, such ability has not been investigated for English-centric models (e.g., LLaMA). To fill this gap, we study the following research questions. First, does multilingual transfer ability exist in English-centric models and how does it compare with multilingual pretrained models? Second, does it only appears when English is the source language for the English-centric model? Third, how does it vary in different tasks? We take multilingual reasoning ability as our focus and conduct extensive experiments across four types of reasoning tasks. We find that the multilingual pretrained model does not always outperform an English-centric model. Furthermore, English appears to be a less suitable source language, and the choice of source language becomes less important when the English-centric model scales up. In addition, different types of tasks exhibit different multilingual transfer abilities. These findings demonstrate that English-centric models not only possess multilingual transfer ability but may even surpass the transferability of multilingual pretrained models if well-trained. By showing the strength and weaknesses, the experiments also provide valuable insights into enhancing multilingual reasoning abilities for the English-centric models.",分析提取：多语言迁移；英语中心模型；源语言；推理任务；模型规模,多语言能力与低资源学习,"研究问题：英语中心模型的跨语言推理迁移是否弱于多语言模型？
采用方法：跨四类推理任务比较模型、源语言和规模。",发现多语言预训练并非总占优，迁移能力依任务与源语言而变。,"Jiacheng Ye：香港大学
Xijia Tao：香港大学"
139,2023,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,Extrapolating Large Language Models to Non-English by Aligning Languages,未获取,未获取,未获取,"Existing large language models show disparate capability across different languages, due to the imbalance in the training data. Their performances on English tasks are often stronger than on tasks of other languages. In this paper, we empower pre-trained LLMs on non-English languages by building semantic alignment across languages. We start from targeting individual languages by performing cross-lingual instruction-tuning (CoIT) on LLaMA, i.e. tuning it with translation task data and cross-lingual general task data to obtain cross-lingual models (x-LLaMAs), and formulate underlying scaling laws to investigate the advantages of using scalable translation data. Then we perform multilingual instruction-tuning (MuIT) with mixed resources to build multilingual m-LLaMA. We also illustrate how we leverage the scaling laws to optimize data allocation in a resource-constrained setting. Experiment results on cross-lingual benchmarks XQUAD and MLQA show that x-LLaMAs surpass the English instruction-tuned counterpart (Alpaca) by an average of 27.83% across six non-English languages. Evaluation results on translation dataset Flores-101 show that x-LLaMAs outperform previous LLaMA-based models by an average of 18.89%. Encouragingly, m-LLaMA achieves comparable performance to x-LLaMAs on individual languages and demonstrates the ability to follow multilingual instructions. Further analysis on response content and representation space reveals the alignment of the multilingual semantic space within the middle layers of m-LLaMA.",分析提取：跨语言对齐；指令微调；翻译数据；语义空间；数据分配,多语言能力与低资源学习,"研究问题：如何把英语较强的大模型能力迁移到其他语言？
采用方法：使用翻译和跨语言指令数据进行语义对齐，并按规模规律分配数据。",构建跨语言与多语言LLaMA，分析中间层的语义空间对齐。,"Wenhao Zhu：待核验
Yunzhe Lv：待核验
Qingxiu Dong：待核验
Fei Yuan：待核验
Jingjing Xu：待核验
Shujian Huang：待核验
Jiajun Chen：待核验
Lei Li：待核验"
140,2025,发表,一作 = 否（按作者顺序）；通讯 = 待核验,Exploring the Reliability of Large Language Models as Customized Evaluators for Diverse NLP Tasks,未获取,未获取,未获取,"Previous work adopts large language models (LLMs) as evaluators to evaluate natural language process (NLP) tasks. However, certain shortcomings, e.g., fairness, scope, and accuracy, persist for current LLM evaluators. To analyze whether LLMs can serve as reliable alternatives to humans, we examine the fine-grained alignment between LLM evaluators and human annotators, particularly in understanding the target evaluation tasks and conducting evaluations that meet diverse criteria. This paper explores both conventional tasks (e.g., story generation) and alignment tasks (e.g., math reasoning), each with different evaluation criteria. Our analysis shows that 1) LLM evaluators can generate unnecessary criteria or omit crucial criteria, resulting in a slight deviation from the experts. 2) LLM evaluators excel in general criteria, such as fluency, but face challenges with complex criteria, such as numerical reasoning. We also find that LLM-pre-drafting before human evaluation can help reduce the impact of human subjectivity and minimize annotation outliers in pure human evaluation, leading to more objective evaluation. All resources are available at https://github.com/qtli/CoEval.",分析提取：模型裁判；评价标准；人工一致性；复杂推理；主观偏差,模型评价与奖励学习,"研究问题：LLM能否按不同任务标准可靠替代人工评价？
采用方法：细粒度比较模型与专家对评价标准的理解和执行。",发现复杂标准仍困难，并观察到模型预评可减少部分人工主观波动。,"Qintong Li：香港大学
Leyang Cui：腾讯AI Lab
Wei Bi：腾讯AI Lab"
142,2023,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,Linear Attention via Orthogonal Memory,未获取,未获取,未获取,"Efficient attentions have greatly improved the computational efficiency of Transformers. However, most existing linear attention mechanisms suffer from an \emph{efficiency degradation} problem, leading to inefficiencies in causal language modeling and hindering their application in long-range language models. This problem is more pronounced under language modeling with unbounded contexts. In this paper, we propose \textbf{L}inear \textbf{A}ttention \textbf{V}ia \textbf{O}rthogonal memory~(\shortname) to address these limitations, achieving strong performance while maintaining linear complexity. \shortname employs orthogonal decomposition to compress a context into a fixed-size orthogonal memory while effectively minimizing redundancy within the context. Given that orthogonal memory compresses global information, we further dissect the context to amplify fine-grained local information. Additionally, we embed the relative position encoding into \shortname to improve the extrapolation ability. Experimental results show that \shortname greatly improves the efficiency of the causal language model with the best extrapolation performance and outperforms other efficient baselines. Further, we endeavor to employ \shortname for unbounded language modeling and successfully scale the context length to 128K.",分析提取：线性注意力；正交记忆；因果建模；局部信息；长度外推,高效注意力与序列架构,"研究问题：线性注意力如何避免因果和无界上下文中的效率退化？
采用方法：以正交分解压缩固定大小记忆，同时保留局部信息与相对位置。",提高因果语言建模效率及长度外推能力。,"Jun Zhang：待核验
Shuyang Jiang：待核验
Jiangtao Feng：待核验
Lin Zheng：待核验"
143,2024,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,OS-Copilot: Towards Generalist Computer Agents with Self-Improvement,未获取,未获取,未获取,"Autonomous interaction with the computer has been a longstanding challenge with great potential, and the recent proliferation of large language models (LLMs) has markedly accelerated progress in building digital agents. However, most of these agents are designed to interact with a narrow domain, such as a specific software or website. This narrow focus constrains their applicability for general computer tasks. To this end, we introduce OS-Copilot, a framework to build generalist agents capable of interfacing with comprehensive elements in an operating system (OS), including the web, code terminals, files, multimedia, and various third-party applications. We use OS-Copilot to create FRIDAY, a self-improving embodied agent for automating general computer tasks. On GAIA, a general AI assistants benchmark, FRIDAY outperforms previous methods by 35%, showcasing strong generalization to unseen applications via accumulated skills from previous tasks. We also present numerical and quantitative evidence that FRIDAY learns to control and self-improve on Excel and Powerpoint with minimal supervision. Our OS-Copilot framework and empirical findings provide infrastructure and insights for future research toward more capable and general-purpose computer agents.",分析提取：计算机智能体；工具使用；技能积累；自改进；跨应用,工具智能体与任务评测,"研究问题：计算机智能体如何跨软件执行任务并积累技能？
采用方法：OS-Copilot统一网页、终端、文件及应用接口，构建自改进FRIDAY。",在通用助手与办公软件任务验证从经验迁移到未见应用的能力。,"Zhiyong Wu：待核验
Chengcheng Han：待核验
Zichen Ding：待核验
Zhenmin Weng：待核验
Zhoumianze Liu：待核验
Shunyu Yao：待核验
Tao Yu：待核验"
144,2024,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,"A Survey of Neural Code Intelligence: Paradigms, Advances and Beyond",未获取,未获取,未获取,"Neural Code Intelligence -- leveraging deep learning to understand, generate, and optimize code -- holds immense potential for transformative impacts on the whole society. Bridging the gap between Natural Language and Programming Language, this domain has drawn significant attention from researchers in both research communities over the past few years. This survey presents a systematic and chronological review of the advancements in code intelligence, encompassing over 50 representative models and their variants, more than 20 categories of tasks, and an extensive coverage of over 680 related works. We follow the historical progression to trace the paradigm shifts across different research phases (e.g., from modeling code with recurrent neural networks to the era of Large Language Models). Concurrently, we highlight the major technical transitions in models, tasks, and evaluations spanning through different stages. For applications, we also observe a co-evolving shift. It spans from initial endeavors to tackling specific scenarios, through exploring a diverse array of tasks during its rapid expansion, to currently focusing on tackling increasingly complex and varied real-world challenges. Building on our examination of the developmental trajectories, we further investigate the emerging synergies between code intelligence and broader machine intelligence, uncovering new cross-domain opportunities and illustrating the substantial influence of code intelligence across various domains. Finally, we delve into both the opportunities and challenges associated with this field, alongside elucidating our insights on the most promising research directions. An ongoing, dynamically updated project and resources associated with this survey have been released at https://github.com/QiushiSun/Awesome-Code-Intelligence.",分析提取：代码智能；综述；程序理解；代码生成；模型评测,代码生成与纠错,"研究问题：神经代码智能的模型、任务与评价如何演变？
采用方法：按历史阶段综述代表模型、任务类别和代码智能应用。",梳理从循环网络到大模型的技术变化及真实复杂任务挑战。,"Qiushi Sun：待核验
Zhirui Chen：待核验
Fangzhi Xu：待核验
Kanzhi Cheng：待核验
Chang Ma：待核验
Zhangyue Yin：待核验
Jianing Wang：待核验
Chengcheng Han：待核验
Renyu Zhu：待核验
Shuai Yuan：待核验
Qipeng Guo：待核验
Xipeng Qiu：待核验
Pengcheng Yin：待核验
Xiaoli Li：待核验
Fei Yuan：待核验
Xiang Li：待核验
Zhiyong Wu：待核验"
145,2024,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,Data Augmentation of Multi-turn Psychological Dialogue via Knowledge-driven Progressive Thought Prompting,未获取,未获取,未获取,"Existing dialogue data augmentation (DA) techniques predominantly focus on augmenting utterance-level dialogues, which makes it difficult to take dialogue contextual information into account. The advent of large language models (LLMs) has simplified the implementation of multi-turn dialogues. Due to absence of professional understanding and knowledge, it remains challenging to deliver satisfactory performance in low-resource domain, like psychological dialogue dialogue. DA involves creating new training or prompting data based on the existing data, which help the model better understand and generate psychology-related responses. In this paper, we aim to address the issue of multi-turn dialogue data augmentation for boosted performance in the psychology domain. We propose a knowledge-driven progressive thought prompting method to guide LLM to generate multi-turn psychology-related dialogue. This method integrates a progressive thought generator, a psychology knowledge generator, and a multi-turn dialogue generator. The thought generated by the progressive thought generator serves as a prompt to prevent the generated dialogue from having significant semantic deviations, while the psychology knowledge generator produces psychological knowledge to serve as the dialogue history for the LLM, guiding the dialogue generator to create multi-turn psychological dialogue. To ensure the precision of multi-turn psychological dialogue generation by LLM, a meticulous professional evaluation is required. Extensive experiments conducted on three datasets related to psychological dialogue verify the effectiveness of the proposed method.",分析提取：心理对话；数据增强；知识引导；多轮交互；渐进提示,支持性对话,"研究问题：低资源心理对话如何进行保留上下文的多轮数据增强？
采用方法：组合渐进思维、心理知识与多轮对话三个生成模块。",用专业知识控制生成偏移，并在心理对话数据上评测。,"Jiyue Jiang：香港大学；香港中文大学
Liheng Chen：香港大学
Sheng Wang：香港大学
Yu Li：香港中文大学
Chuan Wu：香港大学"
146,2024,预印本,一作 = 否（按作者顺序）；通讯 = 否,SubgoalXL: Subgoal-based Expert Learning for Theorem Proving,未获取,未获取,未获取,"Formal theorem proving, a field at the intersection of mathematics and computer science, has seen renewed interest with advancements in large language models (LLMs). This paper introduces SubgoalXL, a novel approach that synergizes subgoal-based proofs with expert learning to enhance LLMs' capabilities in formal theorem proving within the Isabelle environment. SubgoalXL addresses two critical challenges: the scarcity of specialized mathematics and theorem-proving data, and the need for improved multi-step reasoning abilities in LLMs. By optimizing data efficiency and employing subgoal-level supervision, SubgoalXL extracts richer information from limited human-generated proofs. The framework integrates subgoal-oriented proof strategies with an expert learning system, iteratively refining formal statement, proof, and subgoal generators. Leveraging the Isabelle environment's advantages in subgoal-based proofs, SubgoalXL achieves a new state-of-the-art performance of 56.1\% in Isabelle on the standard miniF2F dataset, marking an absolute improvement of 4.9\%. Notably, SubgoalXL successfully solves 41 AMC12, 9 AIME, and 3 IMO problems from miniF2F. These results underscore the effectiveness of maximizing limited data utility and employing targeted guidance for complex reasoning in formal theorem proving, contributing to the ongoing advancement of AI reasoning capabilities. The implementation is available at \url{https://github.com/zhaoxlpku/SubgoalXL}.",分析提取：形式化证明；Isabelle；子目标；专家学习；数据效率,形式化定理证明,"研究问题：有限人工证明数据如何支持更强的形式化多步推理？
采用方法：SubgoalXL在Isabelle中联合子目标监督和专家迭代学习。",交替优化形式陈述、证明和子目标生成器，提高miniF2F证明成功率。,"Xueliang Zhao：香港大学
Lin Zheng：香港大学
Haige Bo：SambaNova Systems
Changran Hu：SambaNova Systems
Urmish Thakker：SambaNova Systems"
147,2024,预印本,一作 = 否（按作者顺序）；通讯 = 否,UncertaintyRAG: Span-Level Uncertainty Enhanced Long-Context Modeling for Retrieval-Augmented Generation,未获取,未获取,未获取,"We present UncertaintyRAG, a novel approach for long-context Retrieval-Augmented Generation (RAG) that utilizes Signal-to-Noise Ratio (SNR)-based span uncertainty to estimate similarity between text chunks. This span uncertainty enhances model calibration, improving robustness and mitigating semantic inconsistencies introduced by random chunking. Leveraging this insight, we propose an efficient unsupervised learning technique to train the retrieval model, alongside an effective data sampling and scaling strategy. UncertaintyRAG outperforms baselines by 2.03% on LLaMA-2-7B, achieving state-of-the-art results while using only 4% of the training data compared to other advanced open-source retrieval models under distribution shift settings. Our method demonstrates strong calibration through span uncertainty, leading to improved generalization and robustness in long-context RAG tasks. Additionally, UncertaintyRAG provides a lightweight retrieval model that can be integrated into any large language model with varying context window lengths, without the need for fine-tuning, showcasing the flexibility of our approach.",分析提取：RAG；片段不确定性；信噪比；检索模型；分布变化,检索增强生成,"研究问题：随机分块造成的语义不一致如何影响长上下文RAG？
采用方法：以信噪比定义片段不确定性，训练无监督检索器并改进采样。",改善分布变化下的检索校准、鲁棒性与数据效率。,"Zixuan Li：待核验
Jing Xiong：待核验
Fanghua Ye：待核验
Chuanyang Zheng：待核验
Xun Wu：待核验
Jianqiao Lu：待核验
Zhongwei Wan：待核验
Xiaodan Liang：待核验
Chengming Li：待核验
Zhenan Sun：待核验
Ngai Wong：待核验"
148,2024,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,TMGBench: A Systematic Game Benchmark for Evaluating Strategic Reasoning Abilities of LLMs,未获取,未获取,未获取,"The rapid advancement of large language models has accelerated their application in reasoning, with strategic reasoning drawing increasing attention. To evaluate the strategic reasoning capabilities of LLMs, game theory, with its concise structure, has become the preferred approach for many researchers. However, current research typically focuses on a limited selection of games, resulting in low coverage of game types. Additionally, classic game scenarios carry risks of data leakage, and the benchmarks used often lack extensibility, rendering them inadequate for evaluating state-of-the-art models. To address these challenges, we propose TMGBench, characterized by comprehensive game type coverage, diverse scenarios and flexible game organization. Specifically, we incorporate all 144 game types summarized by the Robinson-Goforth topology of 2x2 games, constructed as classic games in our benchmark; we also synthetize diverse, higher-quality game scenarios for each classic game, which we refer to as story-based games. Lastly, to provide a sustainable evaluation framework adaptable to increasingly powerful LLMs, we treat the aforementioned games as atomic units and organize them into more complex forms through sequential, parallel, and nested structures. We conducted a comprehensive evaluation of mainstream LLMs, covering tests on rational reasoning, reasoning robustness, Theory-of-Mind capabilities, and reasoning in complex game forms. The results revealed LLMs still have flaws in the accuracy and consistency of strategic reasoning processes, and their levels of mastery over Theory-of-Mind also vary. Additionally, SOTA models like o3-mini, Qwen3 and deepseek-reasoner, were also evaluated across the sequential, parallel, and nested game structures while the results highlighted the challenges posed by TMGBench.",分析提取：博弈推理；心智理论；组合任务；策略；鲁棒性,社会智能与角色控制,"研究问题：如何全面且可扩展地评测语言模型的博弈推理？
采用方法：TMGBench覆盖144类双人博弈，并以顺序、并行和嵌套形式组合。",检验理性、稳健性与心智理论，揭示策略推理的不一致。,"Haochuan Wang：待核验
Xiachong Feng：待核验
Lei Li：待核验
Yu Guo：待核验
Zhanyue Qin：待核验
Dianbo Sui：待核验"
149,2024,预印本,一作 = 否（按作者顺序）；通讯 = 是,Understanding the Role of LLMs in Multimodal Evaluation Benchmarks,未获取,未获取,未获取,"The rapid advancement of Multimodal Large Language Models (MLLMs) has been accompanied by the development of various benchmarks to evaluate their capabilities. However, the true nature of these evaluations and the extent to which they assess multimodal reasoning versus merely leveraging the underlying Large Language Model (LLM) backbone remain unclear. This paper presents a comprehensive investigation into the role of LLM backbones in MLLM evaluation, focusing on two critical aspects: the degree to which current benchmarks truly assess multimodal reasoning and the influence of LLM prior knowledge on performance. Specifically, we introduce a modified evaluation protocol to disentangle the contributions of the LLM backbone from multimodal integration, and an automatic knowledge identification technique for diagnosing whether LLMs equip the necessary knowledge for corresponding multimodal questions. Our study encompasses four diverse MLLM benchmarks and eight state-of-the-art MLLMs. Key findings reveal that some benchmarks allow high performance even without visual inputs and up to 50\% of error rates can be attributed to insufficient world knowledge in the LLM backbone, indicating a heavy reliance on language capabilities. To address knowledge deficiencies, we propose a knowledge augmentation pipeline that achieves significant performance gains, with improvements of up to 60\% on certain datasets, resulting in a approximately 4x increase in performance. Our work provides crucial insights into the role of the LLM backbone in MLLMs, and highlights the need for more nuanced benchmarking approaches.",分析提取：多模态评测；语言先验；视觉信息；知识诊断；评价偏差,模型评价与奖励学习,"研究问题：多模态基准实际衡量了视觉推理还是语言先验？
采用方法：移除或分离视觉输入贡献，并自动识别语言主干的知识缺口。",发现部分基准可不看图取得高分，强调更细致的多模态评测。,"Botian Jiang：复旦大学
Lei Li：香港大学
Xiaonan Li：复旦大学
Zhaowei Li：复旦大学
Xiachong Feng：香港大学
Qi Liu：香港大学
Xipeng Qiu：复旦大学"
151,2025,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,BioMaze: Benchmarking and Enhancing Large Language Models for Biological Pathway Reasoning,未获取,未获取,未获取,"The applications of large language models (LLMs) in various biological domains have been explored recently, but their reasoning ability in complex biological systems, such as pathways, remains underexplored, which is crucial for predicting biological phenomena, formulating hypotheses, and designing experiments. This work explores the potential of LLMs in pathway reasoning. We introduce BioMaze, a dataset with 5.1K complex pathway problems derived from real research, covering various biological contexts including natural dynamic changes, disturbances, additional intervention conditions, and multi-scale research targets. Our evaluation of methods such as CoT and graph-augmented reasoning, shows that LLMs struggle with pathway reasoning, especially in perturbed systems. To address this, we propose PathSeeker, an LLM agent that enhances reasoning through interactive subgraph-based navigation, enabling a more effective approach to handling the complexities of biological systems in a scientifically aligned manner. The dataset and code are available at https://github.com/zhao-ht/BioMaze.",分析提取：生物通路；系统扰动；图推理；子图导航；智能体,生物通路推理,"研究问题：LLM能否推理复杂、受扰动的生物通路？
采用方法：BioMaze从真实研究构建5.1K问题，PathSeeker交互导航子图。",展示通路推理困难，并探索贴近科学结构的智能体方法。,"Haiteng Zhao：北京大学
Chang Ma：香港大学
Fangzhi Xu：西安交通大学
Zhi-Hong Deng：北京大学"
